"Tree_id","Sample"
"EMP_QT1","EMP0006"
"FLEV_QT1","FLEV126"
"FLEV_QT1","FLEV134"
"FLEV_QT2","FLEV132"
"FLEV_QT2","FLEV149"
"FLEV_QT3","FLEV131"
"FLEV_QT3","FLEV148"
"GEN_QT1","GEN0013"
"GEN_QT1","GEN0014"
"GEN_QT1","GEN0019"
"GEN_QT1","GEN0020"
"GEN_QT1","GEN0023"
"GEP_QT1","GEP0001"
"GEP_QT1","GEP0008"
"GEP_QT1","GEP0011"
"GMW_QT1","GMW0001"
"GMW_QT1","GMW0004"
"HER_QT1","HER0001"
"HER_QT1","HER0002"
"HER_QT1","HER0003"
"HER_QT1","HER0004"
"HER_QT1","HER0005"
"HER_QT1","HER0006"
"HER_QT1","HER0007"
"HER_QT1","HER0008"
"HKL_QT1","HKL0003"
"HKL_QT1","HKL0004"
"HOK_QT1","HOK0003"
"HOK_QT1","HOK0004"
"HOK_QT1","HOK0006"
"HOK_QT2","HOK0016"
"HOK_QT2","HOK0017"
"HORB1QT1","HORB103"
"HORB1QT1","HORB109"
"HORB3QT1","HORB314"
"HORB3QT1","HORB318"
"HORB3QT2","HORB322"
"HORB3QT2","HORB323"
"HORB3QT3","HORB333"
"HORB3QT3","HORB334"
"HORB3QT4","HORB335"
"HORB3QT4","HORB346"
"HORB3QT4","HORB347"
"HORB3QT5","HORB339"
"HORB3QT5","HORB345"
"HORB3QT6","HORB355"
"HORB3QT6","HORB357"
"HRW_QT1","HRW0001"
"HRW_QT1","HRW0002"
"HRW3_QT1","HRW3001"
"HRW3_QT1","HRW3002"
"HRW4_QT1","HRW4001"
"HRW4_QT1","HRW4002"
"HRW4_QT1","HRW4003"
"HRW4_QT1","HRW4004"
"HRW4_QT1","HRW4005"
"HRW4_QT1","HRW4006"
"HRW4_QT1","HRW4007"
"HRW4_QT1","HRW4008"
"HRW4_QT1","HRW4009"
"IBYK_QT1","IBYK001"
"IBYK_QT1","IBYK002"
"IBYK_QT1","IBYK009"
"IBYK_QT2","IBYK007"
"IBYK_QT2","IBYK010"
"IBYK_QT2","IBYK015"
"IBYK_QT3","IBYK003"
"IBYK_QT3","IBYK013"
"LEV_QT1","LEV0001"
"LEV_QT1","LEV0002"
"LIW_QT1","LIW0001"
"LIW_QT1","LIW0003"
"LIW_QT2","LIW0006"
"LIW_QT2","LIW0007"
"LRB_QT1","LRB0004"
"LRB_QT1","LRB0019"
"LRC_QT1","LRC0024"
"LRC_QT1","LRC0025"
"LRC_QT1","LRC0030"
"LRC_QT2","LRC0035"
"LRC_QT2","LRC0037"
"MAIR_QT1","MAIR201"
"MAIR_QT1","MAIR204"
"MAIR_QT1","MAIR205"
"MAIR_QT2","MAIR202"
"MAIR_QT2","MAIR207"
"MAIR_QT2","MAIR208"
"MAIR_QT3","MAIR203"
"MAIR_QT3","MAIR206"
"MAIR_QT3","MAIR209"
"MAIR_QT3","MAIR210"
"MB_QT1","MB-ZW8"
"MB_QT1","MB-ZW9"
"MMB_QT1","MMB0013"
"MMB_QT1","MMB0014"
"NEW_QT1","NEW0009"
"NEW_QT1","NEW0010"
"NOR_QT1","NORR201"
"NOR_QT1","NORR202"
"NOR_QT1","NORR203"
"NOVY_QT1","NOVY101"
"NOVY_QT1","NOVY113"
"NOVY_QT2","NOVY102"
"NOVY_QT2","NOVY106"
"NOVY_QT2","NOVY127"
"NOVY_QT2","NOVY132"
"NOVY_QT3","NOVY103"
"NOVY_QT3","NOVY129"
"NOVY_QT3","NOVY135"
"NOVY_QT3","NOVY142"
"NOVY_QT3","NOVY148"
"NOVY_QT3","NOVY149"
"NOVY_QT4","NOVY112"
"NOVY_QT4","NOVY144"
"NOVY_QT4","NOVY145"
"NOVY_QT4","NOVY146"
"NOVY_QT5","NOVY128"
"NOVY_QT5","NOVY138"
"NOVY_QT5","NOVY140"
"NOVY_QT6","NOVY110"
"NOVY_QT6","NOVY136"
"NOVY_QT6","NOVY151"
"NYW_AT1","NYW0001"
"NYW_AT1","NYW0002"
"NYW_AT1","NYW0003"
"NYW_AT1","NYW0004"
"OFBG_QT1","OFBG201"
"OFBG_QT1","OFBG204"
"OFBG_QT1","OFBG213"
"OFBG_QT1","OFBG214"
"OFBG_QT2","OFBG202"
"OFBG_QT2","OFBG210"
"OFBG_QT2","OFBG216"
"OFBG_QT3","OFBG211"
"OFBG_QT3","OFBG217"
"OKF_QT1","OKF0002"
"OKF_QT1","OKF0003"
"OSD_QT1","OSD0002"
"OSD_QT1","OSD0004"
"OSD_QT1","OSD0005"
"OSD_QT1","OSD0008"
"OSD_QT1","OSD0016"
"OSD_QT2","OSD0003"
"OSD_QT2","OSD0014"
"OSD_QT3","OSD0010"
"OSD_QT3","OSD0011"
"OSH_QT1","OSH0001"
"OSH_QT1","OSH0004"
"OSH_QT2","OSH0002"
"OSH_QT2","OSH0003"
