site_chronology,species,length,first_year,last_year,author,Site_context,Site_type,site_location_utm_wkt
KNES_Q1,QUSP,139,-142,-4,Visser,Settlement,Civilian,SRID=23031;POINT(528733.737015474 5664944.42798739)
LANG_Q1,QUSP,80,-35,45,Visser,City,Civilian,SRID=23031;POINT(674646.804585115 5303954.61570012)
LEV_Q1,QUSP,135,-86,49,Visser,Canal,Military,SRID=23031;POINT(596774.591284552 5772571.91620144)
LIE_A1,ABAL,180,-39,141,Visser,Settlement,Civilian,SRID=23031;POINT(675924.576896311 5755501.27062879)
LIW_Q1,QUSP,188,18,205,Visser,Settlement,Civilian,SRID=23031;POINT(679717.118160043 5710688.2988304)
LMH_Q1,QUSP,148,-72,76,Visser,Settlement,Civilian,SRID=23031;POINT(719968.811738578 5703794.49519833)
LMH_Q2,QUSP,82,11,92,Visser,Settlement,Civilian,SRID=23031;POINT(719968.811738578 5703794.49519833)
LOK_Q1,QUSP,78,-75,3,Visser,Settlement,Civilian,SRID=23031;POINT(686467.576963812 5898686.10945088)
LRB_Q1,QUSP,221,-98,123,Visser,Canal,Military,SRID=23031;POINT(603943.976367761 5778987.87172076)
LRC_Q1,QUSP,140,-91,49,Visser,Canal,Military,SRID=23031;POINT(596226.753526238 5771831.6648643)
LRC_Q2,QUSP,191,-142,49,Visser,Canal,Military,SRID=23031;POINT(596289.824718804 5771951.77719034)
MAIR_Q1,QUSP,110,-34,76,Visser,Settlement,Civilian,SRID=23031;POINT(647990.405182144 5501941.63994446)
MAP_Q1,QUSP,121,-199,-79,Visser,Road,Civilian,SRID=23031;POINT(689704.912855461 5636545.46608724)
MAV_Q1,QUSP,102,47,148,Visser,Castellum,Military,SRID=23031;POINT(529861.179080362 5674864.65311826)
MB_Q1,QUSP,237,-107,130,Visser,Settlement,Civilian,SRID=23031;POINT(552954.826529143 5650825.81656066)
MEH_A1,ABAL,142,-12,130,Visser,Settlement,Civilian,SRID=23031;POINT(659409.104113321 5748821.03393579)
MEK_Q1,QUSP,287,-171,116,Visser,Settlement,Civilian,SRID=23031;POINT(508973.968110471 5629390.80126457)
METZ_Q1,QUSP,164,-45,119,Visser,City,Civilian,SRID=23031;POINT(731948.54629984 5445898.61932994)
