site_chronology,species,length,first_year,last_year,author,Site_context,Site_type,site_location_utm_wkt
EKB_Q1,QUSP,75,17,91,Visser,Settlement,Civilian,SRID=23031;POINT(662106.33903864 5692304.61769961)
ELS_Q1,QUSP,167,-147,20,Visser,Temple,Religious,SRID=23031;POINT(696913.056459588 5756484.10323306)
ELT_Q1,QUSP,144,-58,86,Visser,Temple,Religious,SRID=23031;POINT(695885.685128578 5756016.09441362)
EMP_Q1,QUSP,197,-67,130,Visser,Temple,Religious,SRID=23031;POINT(659663.100364632 5734196.53523441)
EOF_Q1,QUSP,144,305,448,Visser,Sub fossil wood,Natural,SRID=23031;POINT(687403.931652215 5842024.8777326)
ERST2_Q1,QUSP,109,355,463,Visser,Unknown,Unknown,SRID=23031;POINT(844939.319566634 5374004.95402821)
F1B_Q1,QUSP,115,-17,98,Visser,Settlement,Civilian,SRID=23031;POINT(644180.454077913 5710939.2092736)
FLEV1_Q1,QUSP,80,-110,-31,Visser,Settlement,Civilian,SRID=23031;POINT(736677.22239082 5458687.64249848)
FLEV1_Q2,QUSP,263,-332,-70,Visser,Settlement,Civilian,SRID=23031;POINT(736677.22239082 5458687.64249848)
FLEVO_Q1,QUSP,216,68,283,Visser,Sub fossil wood,Natural,SRID=23031;POINT(660718.648853663 5795714.80046228)
FLOR_Q1,QUSP,157,-153,4,Visser,Vicus,Civilian,SRID=23031;POINT(726513.965039751 5469393.56417836)
FLOR_Q2,QUSP,163,-154,9,Visser,Vicus,Civilian,SRID=23031;POINT(726513.965039751 5469393.56417836)
GENP_Q1,QUSP,148,248,395,Visser,Settlement,Civilian,SRID=23031;POINT(704834.049806984 5732122.074043)
GMW_Q1,QUSP,222,-204,18,Visser,Settlement,Civilian,SRID=23031;POINT(702464.578896206 5734196.12515877)
GVE_Q1,QUSP,140,-230,-91,Visser,Settlement,Civilian,SRID=23031;POINT(735223.206327026 5902469.35251116)
GWP_Q1,QUSP,206,-148,58,Visser,Settlement,Civilian,SRID=23031;POINT(659409.104113321 5748821.03393579)
HAR_F1,FREX,104,127,230,Visser,Settlement,Civilian,SRID=23031;POINT(590842.914478993 5763682.17593299)
HBW_Q1,QUSP,145,40,184,Visser,Settlement,Civilian,SRID=23031;POINT(684845.191117971 5706853.12794958)
HER_Q1,QUSP,109,81,189,Visser,Settlement,Civilian,SRID=23031;POINT(682981.460137912 5705091.3465021)
HKL_Q1,QUSP,121,-57,64,Visser,Bridge,Civilian,SRID=23031;POINT(658829.610782099 5697283.40115688)
HOK_Q1,QUSP,177,42,218,Visser,Settlement; villa,Civilian,SRID=23031;POINT(658455.304455421 5696888.01568345)
HOK_Q2,QUSP,189,-118,71,Visser,Settlement; villa,Civilian,SRID=23031;POINT(658455.304455421 5696888.01568345)
HOL_AAHO,QUSP,187,-123,63,Hollstein(1980),City,Civilian,SRID=23031;POINT(717591.484853592 5629597.06718402)
HOL_ALT2,QUSP,46,305,350,Hollstein(1980),Castellum,Military,SRID=23031;POINT(898723.335525187 5490186.10070325)
HOL_BDN2,QUSP,439,-503,-65,Hollstein(1980),Castellum,Military,SRID=23031;POINT(907951.21312211 5594679.34128116)
HOL_BENG,QUSP,69,274,342,Hollstein(1980),Settlement; villa,Civilian,SRID=23031;POINT(791280.975057899 5548543.37026432)
HOL_BERL,QUSP,267,284,550,Hollstein(1980),Grave,Civilian,SRID=23031;POINT(551081.253253117 5640434.53407583)
HOL_BICK,QUSP,77,76,152,Hollstein(1980),Bridge,Civilian,SRID=23031;POINT(900550.323463485 5527980.11804499)
HOL_BRBR,QUSP,153,-23,129,Hollstein(1980),Bridge,Civilian,SRID=23031;POINT(809060.750081587 5210364.78471738)
HOL_BROI,QUSP,237,129,365,Hollstein(1980),Sub-fossil wood,Natural,SRID=23031;POINT(723704.281924453 5636601.89922251)
HOL_DHRO,QUSP,116,119,234,Hollstein(1980),Bridge,Civilian,SRID=23031;POINT(780979.914235697 5530902.48384314)
HOL_ERP1,QUSP,93,400,492,Hollstein(1980),Settlement,Civilian,SRID=23031;POINT(959039.57786573 5374170.03456186)
HOL_GKZB,QUSP,148,-13,134,Hollstein(1980),Bridge,Civilian,SRID=23031;POINT(928052.306737212 5564825.53285863)
HOL_GUST,QUSP,88,76,163,Hollstein(1980),Bridge,Civilian,SRID=23031;POINT(883318.737403833 5549356.84584225)
HOL_IRRB,QUSP,202,-123,78,Hollstein(1980),Settlement,Civilian,SRID=23031;POINT(748428.242920786 5527522.22819643)
HOL_K9SA,QUSP,171,41,211,Hollstein(1980),Water pipe,Unknown,SRID=23031;POINT(803684.930587619 5474295.35945884)
