Series_A,Radius_A,Series_B,Radius_B,overlap,r,r_wuchs,t,t_wuchs,SGC,SSGC,p
068_QT03,R,IJS0003,0,51,-0.10323264,0.52784365,-0.73388600,4.35031764,0.76000000,0.02000000,0.0002360344
068_QT03,R,IJS0003,1,51,-0.08326573,0.50513718,-0.59082932,4.09710332,0.76000000,0.02000000,0.0002360344
068_QT04,R,068085,0,138,0.22549617,0.55295801,2.70914146,7.73940529,0.67153285,0.01459854,0.0000593247
068_QT04,R,068085,C,138,0.19679440,0.50398343,2.34936165,6.80481140,0.67153285,0.02189781,0.0000593247
068_QT04,R,068096,0,138,0.53107450,0.57483393,7.33610682,8.19247573,0.72992701,0.04379562,0.0000000735
068_QT04,R,068096,B,138,0.52624244,0.57018965,7.24363089,8.09420666,0.75912409,0.01459854,0.0000000013
068_QT04,R,VAL0014,1,63,0.38626361,0.57261938,3.29735561,5.45521331,0.72580645,0.01612903,0.0003765390
068_QT04,R,VFH_QT2,R,138,0.68425239,0.61014185,10.98254475,8.98079725,0.71532847,0.03649635,0.0000004638
068_QT04,R,VFH0009,0,92,0.10931144,0.62473849,1.04905111,7.59033210,0.75824176,0.03296703,0.0000008353
068_QT05,R,068026,0,74,0.01826142,0.66894826,0.15605170,7.63641281,0.73972603,0.06849315,0.0000419552
068_QT05,R,068026,A,64,0.09218612,0.55325000,0.73483375,5.22954984,0.74603175,0.04761905,0.0000939791
068_QT05,R,068026,Q,73,0.01764756,0.66443933,0.14976781,7.49143466,0.73611111,0.06944444,0.0000615109
068_QT05,R,068087,D,100,0.58082085,0.54408404,7.09935073,6.41949939,0.71717172,0.02020202,0.0000154858
068_QT05,R,068087,Q,77,0.53592070,0.60086408,5.53384297,6.50982377,0.73684211,0.01315789,0.0000363580
068_QT06,R,068_QT01,R,111,0.90926695,0.83241065,22.91245696,15.68253492,0.85454545,0.01818182,0.0000000000
068_QT06,R,068022,0,124,0.07010864,0.52047203,0.77946041,6.73257377,0.69918699,0.00813008,0.0000099535
068_QT06,R,068032,0,98,0.77978027,0.74750558,12.26723820,11.02592118,0.79381443,0.02061856,0.0000000071
068_QT06,R,068032,A,86,0.69179818,0.62202905,8.83277167,7.28101272,0.70588235,0.02352941,0.0001468818
068_QT06,R,068032,B,77,0.69504003,0.78089328,8.42762529,10.82618705,0.80263158,0.00000000,0.0000001316
068_QT06,R,068072,A,97,0.47055772,0.61716040,5.22514284,7.64495407,0.70833333,0.02083333,0.0000445571
068_QT06,R,068075,0,85,0.86615020,0.71981864,15.88366407,9.44715835,0.71428571,0.04761905,0.0000856830
068_QT06,R,068075,A,85,0.85242099,0.69174751,14.94209961,8.72701205,0.72619048,0.02380952,0.0000338127
068_QT06,R,068082,0,99,0.88470628,0.83582760,18.78829990,14.99465776,0.80612245,0.03061224,0.0000000014
068_QT06,R,068082,A,94,0.84334961,0.82066017,15.13489916,13.77540710,0.82795699,0.01075269,0.0000000003
068_QT06,R,068082,B,95,0.87738930,0.72910032,17.73025228,10.27340543,0.77659574,0.01063830,0.0000000817
068_QT06,R,068087,D,84,0.55614380,0.59784221,6.09649381,6.75349076,0.71084337,0.01204819,0.0001221607
068_QT06,R,068087,Q,77,0.57303818,0.60332385,6.09573668,6.55167668,0.72368421,0.01315789,0.0000961659
068_QT06,R,068115,0,102,0.40954743,0.56723840,4.51162024,6.88769214,0.72277228,0.01980198,0.0000075463
068_QT06,R,068115,A,98,0.28995213,0.58748222,2.98388138,7.11302891,0.76288660,0.02061856,0.0000002240
068_QT06,R,068115,B,99,0.62239475,0.57236308,7.87193828,6.87453711,0.70408163,0.01020408,0.0000533123
068_QT06,R,068115,C,102,0.28206742,0.50188066,2.95472017,5.80251199,0.71287129,0.01980198,0.0000188022
068_QT06,R,068115,Q,99,0.45661428,0.62171215,5.08084718,7.81766645,0.73469388,0.02040816,0.0000033728
068_QT06,R,068120,A,95,0.36396783,0.50411853,3.78865733,5.62916745,0.72340426,0.02127660,0.0000147782
068_QT06,R,ELT0003,0,100,0.75718920,0.63968774,11.53396815,8.23874331,0.73737374,0.01010101,0.0000023162
068_QT06,R,ELT0003,1,100,0.73501351,0.67730793,10.78573209,9.11378221,0.73737374,0.01010101,0.0000023162
068_QT06,R,ELT2004,0,58,0.73246806,0.57399372,8.12279854,5.24555755,0.71929825,0.03508772,0.0009285334
068_QT06,R,MEH0011,1,56,0.41641849,0.53152817,3.39675946,4.61125279,0.72727273,0.00000000,0.0007489604
068_QT07,R,068009,B,117,0.00664999,0.51200467,0.07162412,6.39202465,0.69827586,0.05172414,0.0000194605
068_QT07,R,068089,A,151,-0.20390645,0.60147596,-2.55092783,9.19017832,0.68666667,0.03333333,0.0000048221
068_QT07,R,068089,Q,127,-0.25501764,0.61461106,-2.96044905,8.71107587,0.69841270,0.03968254,0.0000084146
068_QT07,R,068100,0,96,0.48844944,0.73991451,5.45594643,10.66408157,0.77894737,0.03157895,0.0000000540
068_QT07,R,068100,A,95,0.50080648,0.72514981,5.60966660,10.15565142,0.76595745,0.06382979,0.0000002508
068_QT07,R,068100,Q,94,0.49422674,0.74161161,5.48253654,10.60372066,0.78494624,0.03225806,0.0000000389
068_QT07,R,068134,0,177,0.20567812,0.54055463,2.78824204,8.49969081,0.65909091,0.06250000,0.0000243050
068_QT07,R,ELT_QT1,R,127,-0.37868949,0.59407523,-4.59283604,8.25694258,0.67460317,0.05555556,0.0000886109
068_QT07,R,ELT0003,0,100,0.04709426,0.68009133,0.46910251,9.18334333,0.69696970,0.03030303,0.0000886786
068_QT07,R,ELT2002,1,105,-0.29143138,0.56225671,-3.10689344,6.90028950,0.69230769,0.05769231,0.0000876994
068_QT07,R,HORB325,T,58,0.34509264,0.51004285,2.77592095,4.43738383,0.70175439,0.01754386,0.0023158069
068_QT08,R,068100,0,96,0.75630117,0.66151208,11.26757230,8.55221010,0.70526316,0.01052632,0.0000629913
068_QT08,R,068100,B,94,0.73398613,0.64079362,10.42207954,8.00595399,0.70967742,0.01075269,0.0000525219
068_QT08,R,068100,Q,94,0.75491963,0.66166841,11.10092871,8.46429625,0.70967742,0.01075269,0.0000525219
068001,B,VAL0014,1,68,0.14811397,0.61251076,1.22588625,6.29512793,0.73134328,0.01492537,0.0001523221
068002,0,068085,0,145,0.15424181,0.52120281,1.87331953,7.30306912,0.69444444,0.02083333,0.0000030613
068002,0,VAL0014,1,68,0.54070520,0.60684554,5.26129208,6.20270973,0.70149254,0.00000000,0.0009717692
068002,B,LANG102,T,53,0.31063252,0.53647425,2.35658292,4.53977570,0.71153846,0.00000000,0.0022819373
068002,B,VFH0054,Q,52,0.33570974,0.53228581,2.54515384,4.44600272,0.70588235,0.00000000,0.0032758975
068002,B,WS3_QT1,R,116,0.34618619,0.51890351,3.95711839,6.48123620,0.70434783,0.03478261,0.0000117178
068005,A,068007,0,153,0.86713799,0.54562032,21.46453066,8.00051871,0.70394737,0.03289474,0.0000004934
068005,A,068007,B,131,0.88181257,0.60655963,21.31935814,8.66523763,0.68461538,0.05384615,0.0000255508
068005,A,NOVY131,T,70,0.44972575,0.51210530,4.18253692,4.91654087,0.73913043,0.02898551,0.0000710526
068005,B,068007,B,131,0.83329418,0.57049521,17.18614850,7.88941025,0.68461538,0.06923077,0.0000255508
068005,B,068065,0,78,0.59650519,0.53604060,6.52161933,5.53558017,0.74025974,0.02597403,0.0000248078
068005,B,068065,A,71,0.60268471,0.54014056,6.31898768,5.33136734,0.70000000,0.02857143,0.0008179733
068005,B,VAL0014,1,68,0.27218183,0.55392168,2.31531717,5.40505614,0.77611940,0.00000000,0.0000061761
068005,C,HBW2002,Q,57,0.03119964,0.51803072,0.23359044,4.49145341,0.71428571,0.01785714,0.0013406411
068005,C,VAL0014,1,68,0.20219711,0.56166022,1.68996104,5.51501780,0.74626866,0.00000000,0.0000554004
068005,D,VAL0014,1,68,0.29660724,0.61610930,2.54223668,6.35463444,0.74626866,0.00000000,0.0000554004
068005,E,068007,0,159,0.86288860,0.66311407,21.46115336,11.10032300,0.68354430,0.05696203,0.0000039455
068005,E,068007,B,131,0.88686115,0.66175120,21.88524753,10.02509426,0.70769231,0.08461538,0.0000021786
068005,E,VAL0014,1,68,0.20511072,0.58106480,1.71537458,5.80027092,0.70149254,0.02985075,0.0009717692
068007,0,068005,A,153,0.86713799,0.54562032,21.46453066,8.00051871,0.70394737,0.03289474,0.0000004934
068007,0,068005,E,159,0.86288860,0.66311407,21.46115336,11.10032300,0.68354430,0.05696203,0.0000039455
068007,B,068005,A,131,0.88181257,0.60655963,21.31935814,8.66523763,0.68461538,0.05384615,0.0000255508
068007,B,068005,B,131,0.83329418,0.57049521,17.18614850,7.88941025,0.68461538,0.06923077,0.0000255508
068007,B,068005,E,131,0.88686115,0.66175120,21.88524753,10.02509426,0.70769231,0.08461538,0.0000021786
068009,0,068089,A,120,0.47992369,0.51425514,5.96750063,6.51352383,0.68067227,0.02521008,0.0000808712
