"Series_A","Series_B"
"068130","068138"
"068130","068142"
"068130","BHC0056"
"068130","ELT0003"
"068130","MELINP5"
"068130","VFH0027"
"068130","ELT2004"
"068132","600M1"
"068134","068118"
"068134","195014"
"068134","VAL0014"
"068134","VDM2W02"
"068134","C4A_QT3"
"068134","195048"
"068134","ELS0006"
"068134","VFH0051"
"068134","VEND089"
"068134","HORB104"
"068134","HORB306"
"068135","068036"
"068135","068082"
"068135","ELT2004"
"068135","068087"
"068138","068087"
"068138","068130"
"068138","MEH0011"
"068138","068_QT02"
"068138","068072"
"068138","ELT0003"
"068138","068139"
"068139","ELT0005"
"068139","068138"
"068139","TROY217"
"068140","C4A_QT3"
"068141","C4A_QT3"
"068140","195049"
"068140","068141"
"068141","DMN1033"
"068141","TROY143"
"068141","068140"
"068141","195008"
"068141","BAR0008"
"068141","195014"
"068141","TROY129"
"068141","VEND161"
"068142","068130"
"068142","185019"
"068142","BJG0004"
"068142","1DH0032"
"068142","068026"
"068142","068087"
"068143","SARR216"
"068143","TROY110"
"068143","FLEV_QT1"
"068143","VDM2W14"
"068144","068034"
"068144","068_QT02"
"068144","068022"
"068144","068072"
"068144","185022"
"068144","185126"
"068144","BGA0003"
"068144","ELT_QT1"
"068147","NIM0001"
"068145","ATTO103"
"068146","ELT0003"
"068147","068148"
"068147","IWRD577"
"068147","1TN0098"
"068147","VDMLR02"
"068147","VFH0027"
"068147","ALC0002"
"068147","VOW0007"
"068148","068147"
"068148","VBA0001"
"068148","1TN0098"
"068148","DMN1037"
"068154","ELT0003"
"068154","068156"
"068154","068160"
"068154","VFH0038"
"068156","HBW0003"
"068155","OSD_QT1"
"068156","VDM2W23"
"068156","068160"
"068156","068154"
"068156","1TN0116"
"068156","388012"
"068156","VDMLR16"
"068156","NOVY_QT4"
"068156","VDMWL53"
"068158","VDM2W24"
"068159","VDM2W24"
"068160","HBW0003"
"068160","VDMWL53"
"068158","OSG0002"
"068160","068154"
"068160","068156"
"068160","SILL_QT5"
"068160","VDM2W23"
"068160","VDML205"
"068160","VDMLR16"
"068160","068024"
"068160","OKF0011"
"068160","MEH0011"
"068160","NEW0005"
"068160","SARR614"
"068160","VDMLR04"
"068160","F1B0103"
"185_QT2","185067"
"185_QT1","185002"
"185_QT1","185003"
"185_QT1","185372"
"185_QT1","185384"
"185_QT2","185039"
"185_QT2","185060"
"185_QT1","185004"
"185_QT1","185006"
"185_QT1","185009"
"185_QT2","185336"
"185_QT2","185362"
"185_QT2","185379"
"185_QT2","185380"
"185_QT2","185384"
"185_QT2","185074"
"185_QT2","185092"
"185_QT2","185111"
"185_QT2","185143"
"185_QT3","185322"
"185_QT3","185350"
"185_QT3","185108"
"185_QT3","185126"
"185_QT3","185325"
"185_QT3","185330"
"185_QT3","185332"
"185_QT3","185334"
"185_QT3","185336"
"185_QT3","185342"
"185_QT3","185343"
"185_QT3","VEND143"
"185_QT5","185108"
"185_QT4","185331"
"185_QT5","185039"
"185_QT5","185338"
"185_QT5","185060"
"185_QT5","185342"
"185_QT5","185375"
"185_QT5","185067"
"185_QT5","185384"
"185_QT5","195005"
"185_QT5","185074"
"185_QT6","185009"
"185_QT6","RHH0001"
"185002","185003"
"185002","185_QT1"
"185_QT6","185370"
"185_QT6","185372"
"185_QT6","185373"
"185002","185111"
"185002","185009"
"185002","185074"
"185003","185_QT1"
"185003","185002"
"185003","185009"
"185004","185373"
"185004","185_QT1"
"185006","185_QT1"
"185006","185379"
"185006","185384"
"185006","185009"
"185006","185024"
"185009","185_QT1"
"185009","185006"
"185009","185_QT6"
"185009","185002"
"185009","185003"
"185013","185092"
"185013","185014"
"185013","185024"
"185013","185150"
"185013","185374"
"185014","185374"
"185013","185031"
"185013","TROY210"
"185014","185013"
"185014","185015"
"185014","185024"
"185014","185031"
"185013","185022"
"185015","185014"
"185015","185022"
"185019","068142"
"185018","185349"
"185015","AVE0001"
"185018","185030"
"185018","185092"
"185019","185034"
"185019","185067"
"185019","185321"
"185019","185020"
"185019","185323"
"185019","185334"
"185019","185336"
"185019","185021"
"185019","185343"
"185019","185350"
"185020","185067"
"185020","185380"
"185020","1TN0106"
"185020","TROY087"
"185021","185019"
"185021","185060"
"185021","185067"
"185021","185020"
"185021","185092"
"185022","068144"
"185022","185013"
"185022","185015"
"185022","185024"
"185022","185374"
"185020","185019"
"185020","185021"
"185021","185342"
"185021","185108"
"185021","185334"
"185021","185343"
"185021","185350"
"185021","185380"
"185023","185342"
"185024","185363"
"185023","185375"
"185023","185092"
"185023","185096"
"185024","185006"
"185024","185013"
"185024","185014"
"185024","185022"
"185024","185031"
"185024","185384"
"185024","MAP0003"
"185025","TROY032"
"185025","185379"
"185031","185143"
"185030","185018"
"185031","185362"
"185030","185108"
"185030","185111"
"185031","185013"
"185031","185014"
"185031","185024"
"185031","185380"
"185033","185034"
"185033","185384"
"185034","185019"
"185034","185143"
"185034","185033"
"185035","185143"
"185035","185384"
"185035","HOK0005"
"185039","185_QT2"
"185039","185_QT5"
"185039","185342"
"185039","185343"
"185039","185092"
"185039","185108"
"185039","185111"
"185039","185143"
"185060","185_QT2"
"185039","ELS_QT2"
"185039","VAL0025"
"185060","185321"
"185060","185345"
"185060","185362"
"185060","185074"
"185060","185111"
"185060","185143"
"185060","185_QT5"
"185060","185021"
"185060","VEND107"
"185067","185092"
"185067","185096"
"185067","185321"
"185067","195020"
"185067","185_QT5"
"185067","185323"
"185067","185343"
"185067","185111"
"185074","185362"
"185067","185019"
"185067","185021"
"185067","185_QT2"
"185067","185020"
"185074","185_QT2"
"185074","185_QT5"
"185074","185002"
"185074","185060"
"185074","185143"
"185074","185345"
"185074","185379"
"185092","185_QT2"
"185092","185067"
"185092","185018"
"185092","185111"
"185092","185126"
"185092","185150"
"185092","185321"
"185092","185323"
"185092","185343"
"185092","185379"
"185092","185380"
"185092","185021"
"185092","185023"
"185092","185039"
"185092","ABF0021"
"185092","185013"
"185092","185325"
"185092","185334"
"185092","185338"
"185092","185384"
"185096","185342"
"185096","185023"
"185096","185067"
"185096","185111"
"185096","185379"
"185096","185384"
"185108","185_QT3"
"185108","185_QT5"
"185108","185021"
"185108","185126"
"185108","185322"
"185108","185325"
"185108","185336"
"185108","185350"
"185108","185039"
"185108","185030"
"185111","185143"
"185108","C4A_QT3"
"185110","195009"
"185111","185_QT2"
"185111","185002"
"185108","185337"
"185108","HORB324"
"185111","185060"
"185111","185039"
"185111","185067"
"185111","185092"
"185111","185096"
"185111","185342"
"185111","185126"
"185111","185379"
"185126","185092"
"185111","185030"
"185111","185150"
"185126","185_QT3"
"185126","185108"
"185126","185111"
"185126","185325"
"185126","185336"
"185126","068144"
"185126","185362"
"185126","185334"
"185143","185372"
"185143","185060"
"185143","VFH_QT1"
"185143","185_QT2"
"185143","185345"
"185143","185111"
"185143","185031"
"185143","185034"
"185143","185035"
"185143","185039"
"185143","185074"
"185143","185342"
"185143","185362"
"185143","185377"
"185143","185379"
"185150","185013"
"185150","068031"
"185150","185092"
"185150","185111"
"185150","185325"
"185150","VEND263"
"185150","ALC0103"
"185150","VEL0004"
"185150","185379"
"185321","185334"
"185321","185019"
"185150","185362"
"185150","HORB320"
"185321","185350"
"185321","185342"
"185321","185322"
"185321","185060"
"185321","185067"
"185321","185092"
"185321","185323"
"185321","185343"
"185321","185325"
"185321","185329"
"185321","185330"
"185322","185_QT3"
"185322","185325"
"185322","185330"
"185322","185332"
"185322","185336"
"185322","185342"
"185322","185350"
"185322","185108"
"185322","563006a"
"185322","185321"
"185322","185323"
"185322","185329"
"185322","185334"
"185322","185343"
"185323","185343"
"185323","185019"
"185323","185067"
"185323","185092"
"185323","185321"
"185323","185322"
"185323","185325"
"185323","185334"
"185323","185336"
"185323","185342"
"185323","185350"
"185325","185108"
"185324","185347"
"185324","185342"
"185325","185_QT3"
"185325","185150"
"185325","185322"
"185325","185336"
"185325","185330"
"185325","185332"
"185325","185342"
"185325","185343"
"185325","185350"
"185325","185337"
"185329","185321"
"185325","185092"
"185325","185126"
"185325","185321"
"185325","185323"
"185325","185334"
"185329","185322"
"185329","185330"
"185330","185321"
"185330","185_QT3"
"185330","185343"
"185330","185350"
"185330","185322"
"185330","185325"
"185330","185329"
"185330","185334"
"185330","185336"
"185330","185337"
"185330","185342"
"185330","185332"
"185332","185322"
"185331","185_QT4"
"185332","185336"
"185331","185332"
"185331","185342"
"185332","185_QT3"
"185332","185342"
"185332","185325"
"185332","185330"
"185332","185331"
"185332","185334"
"185334","185321"
"185334","185019"
"185334","185021"
"185334","185_QT3"
"185334","185322"
"185334","185323"
"185334","185325"
"185334","185092"
"185334","185332"
"185334","185343"
"185334","185342"
"185334","185350"
"185334","185126"
"185334","185330"
"185334","A246_09"
"185334","195005"
"185334","185384"
"185336","185019"
"185336","185_QT2"
"185336","185_QT3"
"185336","185126"
"185336","185322"
"185336","185323"
"185336","185325"
"185336","185330"
"185336","185332"
"185336","185337"
"185336","185342"
"185336","185343"
"185336","185350"
"185336","185108"
"185337","185108"
"185336","VEND009"
"185337","185330"
"185337","185336"
"185337","185342"
"185337","185350"
"185337","185362"
"185337","185325"
"185338","185_QT5"
"185338","185384"
"185338","185092"
"185338","HKL_QT1"
"185342","185096"
"185342","185322"
"185342","185324"
"185342","185330"
"185342","185332"
"185342","185337"
"185342","185343"
"185342","185350"
"185342","185_QT3"
"185342","185_QT5"
"185342","185021"
"185342","185023"
"185342","185039"
"185342","185111"
"185342","185143"
"185342","185321"
"185342","185325"
"185342","185331"
"185342","563007"
"185342","185334"
"185342","185336"
"185342","185323"
"185343","185092"
"185343","185321"
"185343","185322"
"185343","185323"
"185343","185325"
"185343","185334"
"185343","185336"
"185343","185342"
"185343","185350"
"185343","185021"
"185343","185039"
"185343","185067"
"185343","185380"
"185343","185384"
"185343","185_QT3"
"185343","185019"
"185343","185330"
"185343","185347"
"185345","185375"
"185345","185143"
"185343","TROY150"
"185345","185060"
"185345","185074"
"185347","185343"
"185347","DIFO017"
"185347","DIFO063"
"185347","KNES24"
"185347","BSN0005"
"185347","185324"
"185349","DIFO039"
"185349","DIFO043"
"185349","IALP062"
"185350","185021"
"185349","185018"
"185350","185_QT3"
"185350","185322"
"185350","185325"
"185350","185330"
"185350","185334"
"185350","185336"
"185350","185342"
"185350","185343"
"185350","185108"
"185350","185019"
"185350","185321"
"185350","185323"
"185350","185384"
"185350","195005"
"185350","195017"
"185350","185337"
"185362","185_QT2"
"185362","185337"
"185362","185060"
"185362","185074"
"185362","185126"
"185362","185143"
"185362","185150"
"185362","A246_09"
"185362","185031"
"185362","TROY210"
"185362","VAL0011"
"185362","VILE101"
"185363","185024"
"185362","LMH0001"
"185362","SPR0003"
"185363","185379"
"185370","185_QT6"
"185372","185143"
"185370","185373"
"185370","185378"
"185370","HOK0001"
"185372","185374"
"185372","185_QT1"
"185372","185_QT6"
"185372","185373"
"185373","185_QT6"
"185373","185004"
"185374","185372"
"185373","185370"
"185373","185372"
"185373","185374"
"185374","185013"
"185374","185014"
"185374","185022"
"185374","185373"
"185375","185345"
"185375","185_QT5"
"185375","185023"
"185375","185384"
"185377","185380"
"185377","185143"
"185378","185389"
"185378","185370"
"185379","185380"
"185379","185025"
"185379","185074"
"185379","185092"
"185379","185096"
"185379","185111"
"185379","185143"
"185379","185150"
"185379","185_QT2"
"185379","185006"
"185379","185384"
"185379","185363"
"185380","185_QT2"
"185380","185031"
"185380","185092"
"185380","185343"
"185380","185377"
"185380","185379"
"185380","185384"
"185380","185020"
"185380","185021"
"185380","1TN0106"
"185380","F2A0101"
"185384","185024"
"185384","185_QT1"
"185384","185_QT2"
"185384","185_QT5"
"185384","185006"
"185384","185350"
"185384","185375"
"185384","185379"
"185384","185380"
"185384","185334"
"185384","185338"
"185384","185343"
"185384","185033"
"185384","185035"
"185384","185092"
"185384","185096"
"1890102","195049"
"185389","185378"
"1890101","1890204"
"1890102","600M1"
"1890102","VFH0032"
"1890102","VEND061"
"1890203","1890201"
"1890201","1890203"
"1890201","1890208"
"1890103","VDMWL53"
"1890203","1890205"
"1890203","1890206"
"1890203","1890208"
"1890204","1890101"
"1890203","MEK07W3"
"1890204","D2A_QT2"
"1890205","1890203"
"1890205","1890206"
"1890205","1890207"
"1890205","1890208"
"1890206","1890203"
"1890205","MEK07W3"
"1890206","1890205"
"1890206","1890208"
"1890208","1890201"
"1890207","1890205"
"1890207","1890208"
"1890207","OSN0001"
"1890208","1890203"
"1890208","1890205"
"1890208","1890206"
"1890208","1890207"
"195001","195007"
"1890302","VERD101"
"1890304","MELINP5"
"1890308","MELINP5"
"1890301","MELINP5"
"1890302","MELINP5"
"195001","195036"
"195001","195025"
"195001","VEND192"
"195001","HORB102"
"195001","195026"
"195001","VEND062"
"195001","1TN0100"
"195001","195023"
"195001","195029"
"195001","ALC0103"
"195001","195010"
"195001","195017"
"195001","DAMB110"
"195003","195009"
"195001","MAP0002"
"195003","195014"
"195003","195015"
"195003","195016"
"195003","195017"
"195003","195023"
"195003","195029"
"195003","195035"
"195003","195043"
"195003","195050"
"195003","195010"
"195005","195007"
"195003","195031"
"195003","195036"
"195003","195052"
"195004","195007"
"195004","195012"
"195004","195015"
"195004","195017"
"195004","195018"
"195004","195019"
"195005","185334"
"195005","195035"
"195005","195043"
"195005","195050"
"195005","195052"
"195003","HORB316"
"195003","195020"
"195003","195028"
"195003","195030"
"195003","195049"
"195004","195025"
"195004","195026"
"195004","FLEV104"
"195004","FLEV113"
"195005","185_QT5"
"195005","185350"
"195005","MAP0003"
"195005","195008"
"195005","195014"
"195005","195015"
"195005","195017"
"195005","195018"
"195005","195021"
"195005","195023"
"195005","195025"
"195005","195026"
"195005","VEND198"
"195006","195018"
"195006","068_QT03"
"195006","195007"
"195006","195012"
"195006","195026"
"195006","ILLA203"
"195006","195050"
"195006","HORB311"
"195006","MMB0015"
"195006","SILL151"
"195006","195047"
"195006","195009"
"195006","195049"
"195006","C4A_QT1"
"195006","SPR0002"
"195007","195025"
"195006","VFH0041"
"195006","FLEV104"
"195007","195004"
"195007","195005"
"195007","195006"
"195007","195008"
"195007","195010"
"195007","195014"
"195007","195015"
"195007","195016"
"195007","195017"
"195007","195018"
"195007","195019"
"195007","195020"
"195007","195021"
"195007","195022"
"195007","195023"
"195007","FLEV127"
"195006","195036"
"195006","AVE0001"
"195007","195001"
"195007","FLEV106"
"195007","FLEV113"
