"Series_A","Series_B"
"195021","HORB321"
"VEL0004","ALC_QT1"
"VEL0003","ALC_QT1"
"ALC0035","ALC_QT1"
"UDP0001","ALC_QT1"
"VAL0011","ALC_QT1"
"UDP0002","ALC_QT1"
"C5A0203","ALC_QT1"
"VDMM002","ALC_QT1"
"FLEV117","FLEV103"
"MRW0002","FLEV103"
"FLEV129","FLEV103"
"SARR609","FLEV103"
"FLEV112","FLEV103"
"195047","FLEV103"
"FLEV127","FLEV103"
"FLEV_QT1","FLEV103"
"C4A_QT2","FLEV103"
"FLEV106","FLEV103"
"195007","FLEV103"
"FLEV109","FLEV103"
"FLEV128","FLEV103"
"195029","HORB204"
"56302002","HORB204"
"SARR636","SARR635"
"NWH0011","NWH0027"
"ELS0007","NWH0027"
"TROY077","TROY096"
"TROY172","TROY096"
"VEND248","VEND225"
"068015","068085"
"HBW2002","068085"
"068096","068085"
"VAL0014","068085"
"068083","068085"
"195009","068085"
"NOVY125","NOVY119"
"NOVY141","NOVY119"
"OSH0019","NOVY119"
"RHH0001","HOK0005"
"HOK_QT1","HOK0005"
"NKF0001","Y000E02"
"IJS0002","D2A_QT1"
"EMP0014","NEW0013"
"OSH0019","NEW0013"
"NEW0014","NEW0013"
"NEW0004","NEW0013"
"NEW0003","NEW0013"
"WARC202","WARC203"
"BHC0005","BHC0045"
"VEND217","VEND233"
"TROY214","TROY056"
"TROY172","TROY056"
"SILL_QT6","TROY056"
"SILL_QT3","SILL105"
"VDMWL10","SILL105"
"ZLF0009","ZLF0024"
"VOW0013","SPR0005"
"C5A0305","SPR0005"
"LRB0025","SPR0005"
"185343","185347"
"202032","202036"
"202028","202036"
"202021","202036"
"202030","202036"
"VEND174","VEND230"
"VEND093","VEND051"
"068119","068124"
"068026","068124"
"VITT109","VITT106"
"VITT103","VITT106"
"VDMB001","1TN0118"
"VEN_QT1","1TN0118"
"1TN0116","1TN0118"
"VOW0028","OSD_QT1"
"DAAH15A","OSD_QT1"
"METZ616","SARR632"
"202048","LAMA101"
"202046","LAMA101"
"TRAG102","LAMA101"
"195049","ELS0001"
"185021","185020"
"TROY011","TROY215"
"TROY055","TROY215"
"TROY210","TROY215"
"BHC0042","BHC0077"
"VOW0028","BHC0077"
"BHC0073","BHC0077"
"068135","068087"
"068_QT06","068087"
"068072","068087"
"068_QT02","068087"
"068022","068087"
"068_QT05","068087"
"ELS0007","VDMM003"
"STF0008","STF0005"
"068005","068065"
"068063","068065"
"068087","068135"
"068082","068135"
"HRW2003","HRW2004"
"HRW2001","HRW2004"
"DMN1008","DMN4009"
"TROY180","TROY117"
"TROY125","TROY117"
"TROY172","TROY117"
"ZLF0011","ZLF0007"
"ZLF0010","ZLF0007"
"202074","202047"
"185377","185380"
"185031","185380"
"185_QT2","185380"
"185092","185380"
"185021","185380"
"CUY0088","CUY0001"
"CUY0101","CUY0001"
"CUY0044","CUY0001"
"CUY0096","CUY0001"
"CUY0038","CUY0001"
"IWRD543","VDMWL22"
"VEND200","VEND186"
"VEN_QT1","HKL0006"
"ELT0005","ALC0103"
"SILL120","ALC0103"
"MMB0003","ALC0103"
"587_QT1","ALC0103"
"VLD0001","ALC0103"
"F1B0101","F1B0505"
"F1B0503","F1B0505"
"F1B0401","F1B0505"
"F1B0602","F1B0505"
"185380","185377"
"CUY0088","CUY0058"
"CUY0095","CUY0058"
"CUY0061","CUY0058"
"D2B0103","CUY0058"
"CUY0035","CUY0058"
"METZ606","METZ621"
"METZ625","METZ621"
"TROY180","TROY039"
"TROY173","TROY039"
"TROY216","TROY039"
"TROY127","TROY039"
"TROY125","TROY039"
"TROY033","TROY039"
"TROY172","TROY039"
"TROY170","TROY039"
"TROY074","TROY039"
"185060","185143"
"185031","185143"
"185_QT2","185143"
"VFH_QT1","185143"
"185111","185143"
"185034","185143"
"185074","185143"
"068029","BHO0002"
"VEL0003","BHO0002"
"VDMM002","BHO0002"
"SILL117","SILL101"
"ALC_QT1","VEL0004"
"ELS_QT2","VEL0004"
"NWH0036","VEL0004"
"VEL0002","VEL0004"
"185_QT6","185373"
"185372","185373"
"185370","185373"
"VDMB003","VDMWL20"
"LAMA101","202048"
"202046","202048"
"1DH0015","202048"
"VFH0054","202048"
"NOVY130","NOVY124"
"HOK0010","1TN0120"
"ZLF0046","ZLF0027"
"DIF0015","DIFO062"
"DIFO003","DIFO062"
"563014","563M4SEQ"
"563011","563M4SEQ"
"563015","563M4SEQ"
"563012","563M4SEQ"
"563013","563M4SEQ"
"563010a","563M4SEQ"
"VDMLR20","VDMWL53"
"068160","VDMWL53"
"VDM2W23","VDMWL53"
"185375","185384"
"56304005","56304009"
"ZLF2009","ZLF0036"
"ZLF0030","ZLF0036"
"VDM2W03","ZLF0036"
"ZLF_QT1","ZLF0036"
"ZLF2001","ZLF0036"
"ZLF2007","ZLF0036"
"TROY145","TROY148"
"DIF0025","VILE101"
"TROY147","VILE101"
"VEND143","VILE101"
"VEND096","VILE101"
"TROY184","VILE101"
"TROY172","VILE101"
"VEND102","VEND172"
"VEND220","VEND172"
"ELT2004","ELT2001"
"ELT2002","ELT2001"
"068024","ELT2001"
"ELT_QT1","ELT2001"
"202037","202026"
"202045","202026"
"CUY0102","CUY0072"
"NKF0001","NLF0003"
