Mean_A,Radius_A,Mean_B,Radius_B,overlap,r,r_wuchs,t,t_wuchs,SGC,SSGC,p,p_GLK
068_Q1,M,HORB3_Q1,M,233,-0.08122405,0.53226645,-1.24126914,9.55583576,0.66810345,0.05603448,0.0000003040,NULL
068_Q1,M,SARR6_Q1,M,233,0.51389006,0.52168073,9.12430502,9.29373048,0.64224138,0.05172414,0.0000147016,NULL
068_Q1,M,VFH_Q1,C,199,0.22539300,0.57276321,3.25532689,9.80713672,0.69191919,0.04545455,0.0000000662,NULL
068_Q1,M,VFH_Q1,M,199,0.58828296,0.54856341,10.23659471,9.20867345,0.65656566,0.05555556,0.0000105225,NULL
068_Q1,M,VFH_Q2,C,233,0.27029570,0.63679330,4.27619266,12.55251145,0.70689655,0.04741379,0.0000000003,NULL
068_Q1,M,VFH_Q2,M,233,0.75753800,0.67441923,17.67560181,13.88271660,0.70689655,0.06896552,0.0000000003,NULL
068_Q2,C,068_Q1,C,215,0.51938287,0.50637540,8.89121838,8.57032697,0.64018692,0.07009346,0.0000410453,NULL
068_Q2,C,068_Q1,M,215,0.25947772,0.60179791,3.93045333,10.99726908,0.69626168,0.06542056,0.0000000093,NULL
068_Q2,C,BECRKO,B,142,0.36589862,0.68565067,4.66854717,11.14491779,0.68794326,0.04964539,0.0000080667,NULL
068_Q2,C,ELT_Q1,C,144,0.62387162,0.63140862,9.54595433,9.70288129,0.68531469,0.09090909,0.0000093327,NULL
068_Q2,C,ELT_Q1,M,144,0.26899453,0.65076477,3.33980633,10.21331166,0.67132867,0.06293706,0.0000417481,NULL
068_Q2,C,HOL_LKSH,H,207,0.26437426,0.50871190,3.93447239,8.46013999,0.64563107,0.06310680,0.0000290999,NULL
068_Q2,M,068_Q1,C,215,0.17123019,0.57761921,2.54243072,10.32709696,0.69158879,0.03738318,0.0000000208,NULL
068_Q2,M,068_Q1,M,215,0.41856353,0.67146163,6.74206204,13.22421041,0.71962617,0.04205607,0.0000000001,NULL
068_Q2,M,BECRAA,B,155,0.42038526,0.52505997,5.74956579,7.63118137,0.67532468,0.04545455,0.0000135244,NULL
068_Q2,M,DMN1_Q3,C,214,0.15408246,0.52022426,2.27593871,8.86922263,0.65258216,0.04225352,0.0000084393,NULL
068_Q2,M,DMN1_Q3,M,214,0.60016919,0.50746436,10.95071367,8.57494063,0.63380282,0.08920188,0.0000940013,NULL
068_Q2,M,ELT_Q1,C,144,0.42096206,0.70991487,5.54965798,12.01158900,0.71328671,0.08391608,0.0000003377,NULL
068_Q2,M,ELT_Q1,M,144,0.43186920,0.71577579,5.72590866,12.21406925,0.69230769,0.05594406,0.0000042385,NULL
068_Q2,M,HOL_LKSH,H,207,0.72040275,0.55488063,14.90827718,9.54969987,0.65048544,0.03398058,0.0000156210,NULL
068_Q3,C,VDMLR_Q2,C,89,0.63586421,0.62464008,7.72859252,7.46082659,0.75000000,0.06818182,0.0000027265,NULL
068_Q3,C,VDMLR_Q2,M,89,0.37477352,0.56184878,3.79206674,6.33501379,0.71590909,0.05681818,0.0000510399,NULL
068_Q3,M,VDMLR_Q2,C,89,0.39240210,0.62791099,4.00204706,7.52521593,0.76136364,0.04545455,0.0000009409,NULL
068_Q3,M,VDMLR_Q2,M,89,0.57016309,0.59707438,6.51052790,6.94245458,0.71590909,0.03409091,0.0000510399,NULL
189_Q1,C,DMN1_Q1,C,154,0.47101891,0.50133182,6.60472682,7.14336587,0.66666667,0.07189542,0.0000373798,NULL
195_Q1,C,1TN_Q1,C,182,0.54412827,0.60184889,8.72524366,10.11088054,0.67403315,0.03867403,0.0000028305,NULL
195_Q1,C,563_Q1,C,205,0.49873233,0.55872817,8.21837060,9.59865311,0.64215686,0.04411765,0.0000489023,NULL
195_Q1,C,563_Q1,M,205,0.45183904,0.53031786,7.23411745,8.91233345,0.64215686,0.03431373,0.0000489023,NULL
195_Q1,C,587_Q1,C,241,0.52162653,0.53740756,9.47169513,9.85164948,0.63333333,0.06250000,0.0000360902,NULL
195_Q1,C,HOL_MRBR,H,137,0.37350345,0.63165838,4.69558652,9.46692926,0.68382353,0.05882353,0.0000180724,NULL
195_Q1,C,HOL_PALZ,H,244,0.28996936,0.52325599,4.72309850,9.55196730,0.66255144,0.03703704,0.0000004023,NULL
195_Q1,C,HOL_TRRB,H,227,0.48816692,0.66682143,8.40877175,13.42201548,0.72123894,0.06637168,0.0000000000,NULL
195_Q1,C,MAP_Q1,C,121,0.60513325,0.55739256,8.32646784,7.32362745,0.69166667,0.03333333,0.0000267852,NULL
195_Q1,C,VALK_Q2,C,152,0.54021587,0.58867499,7.88838372,8.91889667,0.72847682,0.04635762,0.0000000196,NULL
195_Q1,C,VALK_Q2,M,152,0.24217378,0.58238124,3.06718240,8.77419829,0.70860927,0.07284768,0.0000002946,NULL
195_Q1,C,VDMLR_Q1,C,189,0.44281741,0.51263459,6.77172246,8.16458933,0.65957447,0.03723404,0.0000120905,NULL
195_Q1,C,VDMLR_Q1,M,189,0.21491254,0.51444822,3.01723517,8.20384564,0.64893617,0.04787234,0.0000442252,NULL
195_Q1,C,VEN_Q1,C,139,0.38226581,0.54717052,4.85968804,7.65149920,0.68115942,0.05072464,0.0000207854,NULL
195_Q1,C,VEN_Q1,M,139,0.20755676,0.52959233,2.49251956,7.30763630,0.68115942,0.03623188,0.0000207854,NULL
195_Q1,C,VFH_Q2,C,169,0.64629056,0.59812570,10.97756170,9.64495291,0.69047619,0.03571429,0.0000007905,NULL
195_Q1,C,VFH_Q2,M,169,0.21283852,0.58995798,2.82339382,9.44218063,0.67261905,0.04166667,0.0000076484,NULL
195_Q1,C,VNW_Q1,C,152,0.47704407,0.52427245,6.66987504,7.54036238,0.68874172,0.04635762,0.0000035079,NULL
195_Q1,C,VNW_Q1,M,152,0.21254144,0.50689108,2.67282139,7.20191383,0.67549669,0.05298013,0.0000160997,NULL
195_Q1,M,1TN_Q1,C,182,0.50454843,0.61972347,7.86209805,10.59409817,0.69613260,0.03867403,0.0000001310,NULL
195_Q1,M,563_Q1,C,205,0.46533949,0.57536898,7.50890841,10.02299365,0.64215686,0.04901961,0.0000489023,NULL
195_Q1,M,563_Q1,M,205,0.51114398,0.55109631,8.49405232,9.40978184,0.66666667,0.02941176,0.0000019268,NULL
195_Q1,M,587_Q1,C,241,0.44486411,0.55571849,7.69519857,10.33377914,0.65000000,0.06250000,0.0000033585,NULL
195_Q1,M,C4A_Q1,C,146,0.44446339,0.56565184,5.97462127,8.23121337,0.68275862,0.04137931,0.0000107549,NULL
195_Q1,M,C4A_Q1,M,146,0.13308062,0.51281804,1.61688467,7.16812535,0.67586207,0.03448276,0.0000228227,NULL
195_Q1,M,DMN1_Q3,C,126,0.48943604,0.53692240,6.27501752,7.08711551,0.68800000,0.06400000,0.0000262462,NULL
195_Q1,M,DMN1_Q3,M,126,0.29719906,0.55105071,3.48002972,7.35344359,0.69600000,0.06400000,0.0000117221,NULL
195_Q1,M,FLEV1_Q1,C,80,0.46761493,0.56527424,4.70200326,6.05206502,0.73417722,0.03797468,0.0000314334,NULL
195_Q1,M,HOL_LKSB,H,103,0.47894704,0.61410161,5.51023767,7.81986050,0.70588235,0.04901961,0.0000320176,NULL
195_Q1,M,HOL_MRBR,H,137,0.20416377,0.67147353,2.43216760,10.52836301,0.71323529,0.06617647,0.0000006577,NULL
195_Q1,M,HOL_PALZ,H,244,0.45594201,0.53639542,7.98579417,9.88706475,0.67489712,0.03292181,0.0000000496,NULL
195_Q1,M,HOL_TRRB,H,227,-0.01039256,0.65756644,-0.15624286,13.09203822,0.76548673,0.03982301,0.0000000000,NULL
195_Q1,M,MAP_Q1,C,121,0.49693208,0.56842523,6.27297120,7.53679833,0.71666667,0.02500000,0.0000020653,NULL
195_Q1,M,MAP_Q1,M,121,0.66434758,0.62074313,9.73686333,8.63697329,0.70000000,0.06666667,0.0000117713,NULL
195_Q1,M,VALK_Q2,C,152,0.46014756,0.57984692,6.36868386,8.71661168,0.70198675,0.05960265,0.0000006902,NULL
195_Q1,M,VALK_Q2,M,152,0.15119577,0.58859849,1.87953216,8.91712306,0.70198675,0.07284768,0.0000006902,NULL
195_Q1,M,VDMLR_Q1,M,189,0.19060015,0.50328828,2.66218134,7.96460561,0.64361702,0.05319149,0.0000820422,NULL
195_Q1,M,VFH_Q2,C,169,0.59204642,0.60316251,9.52197784,9.77231492,0.69642857,0.04761905,0.0000003543,NULL
195_Q1,M,VFH_Q2,M,169,0.16942065,0.59790842,2.22815316,9.63949930,0.70238095,0.04166667,0.0000001552,NULL
195_Q1,M,VNW_Q1,C,152,0.43335566,0.53648948,5.90881895,7.78596149,0.66225166,0.05960265,0.0000667554,NULL
195_Q1,M,VNW_Q1,M,152,0.23994095,0.53692353,3.03716705,7.79481084,0.67549669,0.05298013,0.0000160997,NULL
1AH_Q1,C,CUY_Q1,C,83,0.57722358,0.65532797,6.40101701,7.80829422,0.71951220,0.06097561,0.0000702212,NULL
1AH_Q1,C,CUY_Q1,M,83,0.27049755,0.55832506,2.54430967,6.05688358,0.71951220,0.04878049,0.0000702212,NULL
1AH_Q1,C,GENP_Q1,C,80,0.54583729,0.61233354,5.79014069,6.84035735,0.74683544,0.03797468,0.0000114480,NULL
1AH_Q1,M,DIK_Q1,C,113,0.22565872,0.52422325,2.45137726,6.48562561,0.68750000,0.00892857,0.0000722879,NULL
1DH_Q1,C,068_Q1,C,192,0.60144688,0.60534398,10.40434118,10.48300049,0.71727749,0.04188482,0.0000000019,NULL
1DH_Q1,C,068_Q1,M,192,0.24875145,0.55074369,3.54937978,9.09513671,0.71727749,0.03664921,0.0000000019,NULL
1DH_Q1,C,C4A_Q1,C,233,0.47759509,0.50997981,8.27985062,9.01086352,0.65948276,0.05172414,0.0000011838,NULL
1DH_Q1,C,C4A_Q1,M,233,0.31134646,0.52234923,4.99032474,9.31010467,0.67672414,0.04310345,0.0000000730,NULL
1DH_Q1,C,DMN1_Q3,C,176,0.47253819,0.54918793,7.09295406,8.66853666,0.68000000,0.06285714,0.0000019135,NULL
1DH_Q1,C,HOL_PALZ,H,72,0.25305679,0.52796474,2.20403257,5.20127786,0.74647887,0.02816901,0.0000327091,NULL
1DH_Q1,C,HOL_TMB12,H,120,0.44583567,0.70983857,5.43337320,10.94720370,0.68907563,0.07563025,0.0000370504,NULL
1DH_Q1,C,HOL_TRRS,H,179,0.31064214,0.51304964,4.36019532,7.95201304,0.65730337,0.05056180,0.0000270024,NULL
1DH_Q1,C,VFH_Q2,C,233,0.61001796,0.61380240,11.72597475,11.81692860,0.69827586,0.04310345,0.0000000015,NULL
1DH_Q1,C,VFH_Q2,M,233,0.39849226,0.62652943,6.61779393,12.21766779,0.68103448,0.09051724,0.0000000349,NULL
1DH_Q1,M,068_Q1,C,192,0.43243463,0.61122233,6.62814194,10.64504798,0.67015707,0.04712042,0.0000025607,NULL
1DH_Q1,M,068_Q1,M,192,0.70876366,0.57496894,13.88527054,9.68667774,0.69109948,0.04188482,0.0000001277,NULL
1DH_Q1,M,VFH_Q2,C,233,0.40154934,0.56771858,6.67827860,10.48145954,0.67241379,0.04741379,0.0000001502,NULL
1DH_Q1,M,VFH_Q2,M,233,0.62834242,0.58933043,12.30257469,11.08693490,0.66810345,0.07758621,0.0000003040,NULL
1GDGem,M,VALK_Q1,C,127,0.32995029,0.57123894,3.92339986,7.78115431,0.69047619,0.03174603,0.0000190128,NULL
1GDGem,M,VALK_Q1,M,127,0.40267924,0.53690504,4.93811874,7.11531188,0.69047619,0.01587302,0.0000190128,NULL
1GDGem,M,VALK_Q2,C,207,0.30956958,0.56879244,4.67269721,9.90158734,0.65533981,0.05825243,0.0000082308,NULL
1GDGem,M,VALK_Q2,M,207,0.12664666,0.58967092,1.83247689,10.45362411,0.66019417,0.05825243,0.0000042567,NULL
1GDGem,M,VDM2W_Q1,C,234,0.38497094,0.62457345,6.36704259,12.18134770,0.64806867,0.07725322,0.0000061740,NULL
1GDGem,M,VDM2W_Q1,M,234,0.60951760,0.59001010,11.73587870,11.13055752,0.68669528,0.04721030,0.0000000120,NULL
1GDGem,M,VEN_Q1,M,180,0.30143327,0.53418825,4.22963406,8.43062531,0.65363128,0.04469274,0.0000394132,NULL
1GDGem,M,VNW_Q1,C,227,0.36955034,0.67964890,5.97879436,13.89803855,0.68141593,0.05752212,0.0000000491,NULL
1GDGem,M,VNW_Q1,M,227,0.47817781,0.65260749,8.18500652,12.91957492,0.69911504,0.05309735,0.0000000021,NULL
1GDGem,M,VRW_Q1,C,167,0.31385879,0.54951644,4.25899604,8.44860666,0.70481928,0.04216867,0.0000001307,NULL
1GDGem,M,VRW_Q1,M,167,0.68443218,0.53348379,12.09515235,8.10196272,0.68072289,0.03614458,0.0000032100,NULL
1TN_Q1,C,068_Q1,C,233,0.56351062,0.50823506,10.38983948,8.96927449,0.63362069,0.04741379,0.0000469125,NULL
1TN_Q1,C,195_Q1,C,182,0.54412827,0.60184889,8.72524366,10.11088054,0.67403315,0.03867403,0.0000028305,NULL
1TN_Q1,C,195_Q1,M,182,0.50454843,0.61972347,7.86209805,10.59409817,0.69613260,0.03867403,0.0000001310,NULL
1TN_Q1,C,587_Q1,C,286,0.47085389,0.51043906,9.01023289,10.00341037,0.67017544,0.04912281,0.0000000091,NULL
1TN_Q1,C,FLOR_Q2,M,143,0.24468986,0.50284297,3.00723183,6.90777749,0.68309859,0.02816901,0.0000127856,NULL
1TN_Q1,C,HOK_Q1,C,177,0.58571378,0.59342113,9.58692070,9.75313744,0.64772727,0.06250000,0.0000886786,NULL
1TN_Q1,C,HOK_Q1,M,177,0.21120444,0.54552988,2.86660874,8.61085334,0.65909091,0.03977273,0.0000243050,NULL
1TN_Q1,C,HOL_AAHO,H,187,0.37007744,0.63031891,5.43291536,11.04323451,0.69354839,0.04301075,0.0000001297,NULL
1TN_Q1,C,HOL_KMBQ,H,122,0.41902523,0.53535559,5.07643890,6.94333502,0.68595041,0.04132231,0.0000429686,NULL
1TN_Q1,C,HOL_MBUF,H,124,0.16179292,0.52189664,1.81832726,6.75788726,0.68292683,0.04065041,0.0000495980,NULL
1TN_Q1,C,HOL_MRBR,H,138,0.28446823,0.61018063,3.47310493,8.98170668,0.71532847,0.05839416,0.0000004638,NULL
1TN_Q1,C,HOL_TMB11,H,95,0.51969141,0.57315374,5.89754929,6.74514493,0.71276596,0.03191489,0.0000369633,NULL
1TN_Q1,C,HOL_TRRB,H,111,0.49828446,0.62158785,6.02764652,8.28443674,0.73636364,0.05454545,0.0000007122,NULL
1TN_Q1,C,HOL_TRRS,H,265,0.33649060,0.52726602,5.80588462,10.06333436,0.65909091,0.04545455,0.0000002343,NULL
1TN_Q1,C,IALP_Q1,M,169,0.32129036,0.50729255,4.39755410,7.60717456,0.65476190,0.03571429,0.0000602353,NULL
1TN_Q1,C,MMB_Q1,C,142,0.58860272,0.60761349,8.64556667,9.05197968,0.68085106,0.02127660,0.0000174713,NULL
1TN_Q1,C,MMB_Q1,M,142,0.46812069,0.59330128,6.29042466,8.72075224,0.69503546,0.01418440,0.0000036244,NULL
1TN_Q1,C,SILL_Q2,C,159,0.44541108,0.52503963,6.25328580,7.72987842,0.68987342,0.05063291,0.0000018119,NULL
1TN_Q1,C,SILL_Q2,M,159,0.39246405,0.55734511,5.36352656,8.41102559,0.72151899,0.01265823,0.0000000256,NULL
1TN_Q1,C,VALK_Q2,C,207,0.55043574,0.61478135,9.46275217,11.16058870,0.72330097,0.05825243,0.0000000001,NULL
1TN_Q1,C,VALK_Q2,M,207,0.34013543,0.62454454,5.19139088,11.44973195,0.73300971,0.05825243,0.0000000000,NULL
1TN_Q1,C,VDM2W_Q1,C,255,0.57100345,0.57080970,11.08511283,11.05770173,0.70472441,0.06299213,0.0000000001,NULL
1TN_Q1,C,VDM2W_Q1,M,255,0.29383806,0.57631233,4.89928597,11.21693294,0.68110236,0.04724409,0.0000000078,NULL
1TN_Q1,C,VDMLR_Q1,M,238,0.24488548,0.51594570,3.88835673,9.25275643,0.69620253,0.04219409,0.0000000015,NULL
1TN_Q1,C,VEN_Q1,C,180,0.69472040,0.72285040,12.92226523,13.95653204,0.75418994,0.06145251,0.0000000000,NULL
1TN_Q1,C,VEN_Q1,M,180,0.43423744,0.71374562,6.44950158,13.59578245,0.75418994,0.04469274,0.0000000000,NULL
1TN_Q1,C,VNW_Q1,C,227,0.62363921,0.64119182,11.99335486,12.53338546,0.72566372,0.04867257,0.0000000000,NULL
1TN_Q1,C,VNW_Q1,M,227,0.40671989,0.63199271,6.69292454,12.23252221,0.70353982,0.05309735,0.0000000009,NULL
1TN_Q1,C,VRW_Q1,C,167,0.52249790,0.56915246,7.89537208,8.89152418,0.65662651,0.04819277,0.0000543742,NULL
202_Q1,C,HOL_KORB,H,188,0.49775318,0.72328817,7.84794820,14.28482818,0.74331551,0.01604278,0.0000000000,NULL
202_Q1,C,HOL_MB253,H,150,0.39793443,0.66066125,5.29467561,10.70662131,0.75167785,0.03355705,0.0000000008,NULL
202_Q1,C,HOL_TATE,H,183,0.31465480,0.66169771,4.47207938,11.87327269,0.73626374,0.02197802,0.0000000002,NULL
