Series_A,Radius_A,Series_B,Radius_B,overlap,r,r_wuchs,t,t_wuchs,SGC,SSGC,p
195021,0,HORB321,Q,67,0.11036533,0.54063085,0.90212318,5.18116345,0.74242424,0.01515152,0.0000818466
195021,0,HORB321,T,67,0.11036533,0.54063085,0.90212318,5.18116345,0.74242424,0.01515152,0.0000818466
195021,A,HORB321,Q,67,0.28404807,0.53146094,2.40675142,5.05827188,0.74242424,0.01515152,0.0000818466
195021,A,HORB321,T,67,0.28404807,0.53146094,2.40675142,5.05827188,0.74242424,0.01515152,0.0000818466
VEL0004,1,ALC_QT1,R,116,0.41121862,0.54512225,4.83779554,6.94252685,0.71304348,0.01739130,0.0000048942
VEL0003,2,ALC_QT1,R,108,0.41205631,0.71197647,4.67793926,10.43892309,0.71962617,0.02803738,0.0000055285
VEL0003,Q,ALC_QT1,R,99,0.36914098,0.62645381,3.93201404,7.91556454,0.72448980,0.02040816,0.0000088026
ALC0035,1,ALC_QT1,R,81,0.66000944,0.54656154,7.85789884,5.80109302,0.75000000,0.03750000,0.0000077442
UDP0001,2,ALC_QT1,R,77,0.33970268,0.56494519,3.14870365,5.92946337,0.73684211,0.05263158,0.0000363580
VAL0011,1,ALC_QT1,R,120,0.23552418,0.50196979,2.64363492,6.30463786,0.70588235,0.03361345,0.0000070616
UDP0002,3,ALC_QT1,R,96,0.25711250,0.56931493,2.59320224,6.71400308,0.70526316,0.02105263,0.0000629913
UDP0002,0,ALC_QT1,R,96,0.25711250,0.56931493,2.59320224,6.71400308,0.70526316,0.02105263,0.0000629913
C5A0203,B,ALC_QT1,R,121,0.47537176,0.58087844,5.91898760,7.78465739,0.71666667,0.03333333,0.0000020653
VDMM002,1,ALC_QT1,R,84,0.11341428,0.50112360,1.03996334,5.24381162,0.72289157,0.01204819,0.0000488049
FLEV117,T,FLEV103,T,53,0.46588817,0.60878467,3.79679231,5.48014311,0.78846154,0.00000000,0.0000317897
MRW0002,0,FLEV103,T,54,0.40568892,0.59868412,3.23131698,5.38982796,0.81132075,0.01886792,0.0000058180
FLEV129,T,FLEV103,T,54,0.52915278,0.63466528,4.53997613,5.92224705,0.79245283,0.01886792,0.0000206100
SARR609,T,FLEV103,T,54,0.37862053,0.59555195,2.97811367,5.34606797,0.81132075,0.00000000,0.0000058180
FLEV112,T,FLEV103,T,54,0.33405940,0.61071117,2.58021740,5.56151013,0.77358491,0.00000000,0.0000679202
195047,C,FLEV103,T,54,0.42759651,0.59227315,3.44364372,5.30066396,0.79245283,0.01886792,0.0000206100
FLEV127,T,FLEV103,T,51,0.32360403,0.69855627,2.41835125,6.83370676,0.84000000,0.00000000,0.0000015220
FLEV_QT1,R,FLEV103,T,51,0.32181359,0.77513562,2.40342037,8.58815024,0.82000000,0.00000000,0.0000060258
C4A_QT2,R,FLEV103,T,54,0.34023664,0.56859114,2.63411159,4.98427912,0.77358491,0.00000000,0.0000679202
FLEV106,T,FLEV103,T,54,0.37592228,0.59962089,2.95338257,5.40299030,0.77358491,0.00000000,0.0000679202
195007,1,FLEV103,T,51,0.19320325,0.60486024,1.39238760,5.31690745,0.80000000,0.02000000,0.0000220905
FLEV109,T,FLEV103,T,51,0.16245964,0.77630821,1.16422968,8.62080934,0.80000000,0.06000000,0.0000220905
FLEV128,T,FLEV103,T,53,0.20040297,0.63093365,1.47504988,5.80762287,0.80769231,0.01923077,0.0000090967
195029,B,HORB204,T,51,0.39765891,0.56484446,3.06460054,4.79147321,0.82000000,0.04000000,0.0000060258
56302002,L,HORB204,Q,88,0.26674320,0.52974545,2.58155064,5.79215766,0.71264368,0.01149425,0.0000728391
SARR636,T,SARR635,T,199,0.92175667,0.60714806,33.44845161,10.72470441,0.73232323,0.03535354,0.0000000001
NWH0011,1,NWH0027,1,50,0.86892028,0.73691017,12.28895137,7.55256488,0.83673469,0.02040816,0.0000024256
ELS0007,0,NWH0027,1,81,0.28944599,0.62885068,2.70465833,7.18862971,0.77500000,0.02500000,0.0000008683
ELS0007,2,NWH0027,1,60,0.35796975,0.75360594,2.94475757,8.73126536,0.83050847,0.01694915,0.0000003827
TROY077,T,TROY096,T,59,0.51465982,0.54925443,4.57144585,4.96230994,0.75862069,0.01724138,0.0000817561
TROY172,T,TROY096,T,67,0.67355666,0.67171599,7.40324272,7.31031772,0.75757576,0.03030303,0.0000285027
VEND248,T,VEND225,X,108,0.33004078,0.50772400,3.61661966,6.06757795,0.71962617,0.01869159,0.0000055285
068015,B,068085,0,63,0.61156946,0.50638718,6.08639927,4.58654971,0.75806452,0.00000000,0.0000482380
068015,C,068085,0,59,0.62157858,0.59476921,6.04300817,5.58580488,0.81034483,0.00000000,0.0000022783
068015,C,068085,A,55,0.66148627,0.60683563,6.48158454,5.55822607,0.79629630,0.00000000,0.0000133281
HBW2002,Q,068085,0,58,0.34368542,0.53495181,2.76308154,4.73818840,0.78947368,0.03508772,0.0000123703
068096,0,068085,0,176,0.40386882,0.61722174,5.84016568,10.34802385,0.70857143,0.04000000,0.0000000342
068096,0,068085,C,175,0.34494695,0.56505402,4.84770434,9.00804810,0.70114943,0.05172414,0.0000001116
068096,B,068085,0,176,0.40853594,0.61575261,5.92108297,10.30832241,0.72000000,0.02857143,0.0000000059
068096,B,068085,C,175,0.34819282,0.59162082,4.89958011,9.65194637,0.74137931,0.04022989,0.0000000002
VAL0014,1,068085,0,68,0.43956910,0.57841567,4.00578160,5.76048557,0.74626866,0.01492537,0.0000554004
068083,Q,068085,0,145,0.44800799,0.55852769,6.01333129,8.05199928,0.70138889,0.02083333,0.0000013427
195009,A,068085,0,68,0.46759920,0.57410506,4.33000176,5.69633143,0.74626866,0.04477612,0.0000554004
NOVY125,T,NOVY119,T,78,0.74909758,0.63930660,9.92257312,7.24797683,0.72727273,0.01298701,0.0000664587
NOVY141,T,NOVY119,T,77,0.77702088,0.66754886,10.76121046,7.76444636,0.72368421,0.03947368,0.0000961659
OSH0019,1,NOVY119,T,59,0.32519713,0.56020374,2.61897893,5.10583775,0.77586207,0.01724138,0.0000264794
RHH0001,1,HOK0005,0,94,0.80609104,0.57286636,13.13580873,6.70377511,0.77419355,0.00000000,0.0000001234
RHH0001,1,HOK0005,1,94,0.80170486,0.56617172,12.93475254,6.58814980,0.77419355,0.00000000,0.0000001234
RHH0001,1,HOK0005,2,94,0.79030820,0.54952661,12.43893906,6.30882606,0.76344086,0.01075269,0.0000003753
HOK_QT1,R,HOK0005,0,113,0.80992625,0.59489909,14.61379382,7.79752141,0.70535714,0.02678571,0.0000138269
HOK_QT1,R,HOK0005,1,108,0.75031200,0.54051478,11.74024637,6.61442043,0.71028037,0.02803738,0.0000135943
HOK_QT1,R,HOK0005,2,108,0.80724639,0.61974138,14.14777214,8.13019676,0.74766355,0.04672897,0.0000002996
NKF0001,1,Y000E02,A,107,0.44415110,0.51954555,5.10386264,6.23067792,0.70754717,0.03773585,0.0000192292
IJS0002,1,D2A_QT1,R,80,-0.02477821,0.58541330,-0.22030116,6.37721353,0.77215190,0.02531646,0.0000013123
EMP0014,2,NEW0013,1,53,0.14931235,0.54770743,1.08891331,4.67497783,0.80769231,0.01923077,0.0000090967
OSH0019,0,NEW0013,1,114,0.46483424,0.57313838,5.58083172,7.40187052,0.76106195,0.03539823,0.0000000285
OSH0019,1,NEW0013,1,93,0.56878905,0.54610269,6.63312179,6.21866332,0.78260870,0.00000000,0.0000000591
OSH0019,2,NEW0013,1,114,0.44130422,0.55049033,5.22771354,6.97838057,0.70796460,0.02654867,0.0000098069
NEW0014,1,NEW0013,1,88,0.45328601,0.59692051,4.74325308,6.89967656,0.74712644,0.00000000,0.0000040251
NEW0004,1,NEW0013,1,57,0.42664633,0.53540702,3.53014516,4.70129301,0.78571429,0.05357143,0.0000190128
NEW0003,1,NEW0013,1,104,0.48625960,0.57608715,5.64764782,7.11803094,0.71844660,0.03883495,0.0000092508
WARC202,T,WARC203,T,75,0.84141185,0.69480440,13.39410342,8.25420144,0.75675676,0.04054054,0.0000099891
BHC0005,2,BHC0045,0,75,0.37987333,0.52771245,3.53260313,5.30804642,0.75675676,0.04054054,0.0000099891
BHC0005,2,BHC0045,1,75,0.35544465,0.60366070,3.27127342,6.46940767,0.75675676,0.00000000,0.0000099891
BHC0005,2,BHC0045,2,75,0.35544465,0.60366070,3.27127342,6.46940767,0.75675676,0.00000000,0.0000099891
VEND217,T,VEND233,T,103,0.60143214,0.60149121,7.60293555,7.56673871,0.72549020,0.00980392,0.0000052466
TROY214,T,TROY056,Q,67,0.10983320,0.51062256,0.89772032,4.78802847,0.74242424,0.00000000,0.0000818466
TROY172,T,TROY056,Q,89,0.45038219,0.57813275,4.73206728,6.60887485,0.71590909,0.00000000,0.0000510399
SILL_QT6,R,TROY056,Q,89,0.28370363,0.53709576,2.77541208,5.93902709,0.71590909,0.01136364,0.0000510399
SILL_QT3,R,SILL105,T,95,0.83114074,0.75177998,14.49156180,10.99446366,0.79787234,0.03191489,0.0000000077
VDMWL10,1,SILL105,T,65,0.00982572,0.61504073,0.07860955,6.19120264,0.78125000,0.03125000,0.0000067953
ZLF0009,1,ZLF0024,1,59,0.48748557,0.54493440,4.25203012,4.90670141,0.77586207,0.01724138,0.0000264794
VOW0013,1,SPR0005,0,63,0.50299435,0.59033760,4.58246983,5.71225578,0.77419355,0.06451613,0.0000157446
VOW0013,1,SPR0005,Q,63,0.50299435,0.59033760,4.58246983,5.71225578,0.77419355,0.06451613,0.0000157446
C5A0305,A,SPR0005,0,68,0.31582008,0.58677195,2.72454337,5.88693393,0.74626866,0.05970149,0.0000554004
C5A0305,A,SPR0005,2,57,0.04865056,0.55254675,0.36449909,4.91647905,0.76785714,0.01785714,0.0000609974
C5A0305,A,SPR0005,Q,67,0.32006201,0.60130744,2.74456977,6.06731894,0.75757576,0.06060606,0.0000285027
LRB0025,0,SPR0005,2,57,0.38716129,0.63096997,3.14231243,6.03165091,0.78571429,0.00000000,0.0000190128
LRB0025,0,SPR0005,Q,73,0.71778926,0.64664516,8.74765182,7.14314835,0.73611111,0.08333333,0.0000615109
185343,B,185347,A,61,0.78106221,0.53427195,9.68860697,4.85479628,0.76666667,0.00000000,0.0000360902
202032,0,202036,0,93,0.49694546,0.62973041,5.49277888,7.73318605,0.73913043,0.00000000,0.0000044898
202032,0,202036,A,91,0.60688250,0.59044940,7.24390286,6.90182556,0.72222222,0.00000000,0.0000248266
202032,0,202036,B,87,0.46088139,0.62923967,4.81602528,7.46425448,0.72093023,0.02325581,0.0000417374
202032,Q,202036,0,87,0.47334228,0.64898367,4.98320172,7.86450494,0.75581395,0.00000000,0.0000020888
202032,Q,202036,A,85,0.59052514,0.60730600,6.70647243,6.96418350,0.73809524,0.00000000,0.0000127497
202032,Q,202036,B,87,0.46088139,0.62923967,4.81602528,7.46425448,0.72093023,0.02325581,0.0000417374
202028,0,202036,0,91,0.68930031,0.70955979,9.02621943,9.49977858,0.74444444,0.02222222,0.0000035178
202028,0,202036,A,91,0.68808365,0.71031008,8.99593780,9.52004198,0.72222222,0.02222222,0.0000248266
202028,0,202036,B,79,0.58396622,0.65487378,6.35327666,7.60381516,0.74358974,0.03846154,0.0000168765
202028,A,202036,0,91,0.72200441,0.67867632,9.89976802,8.71771878,0.73333333,0.02222222,0.0000095469
202028,B,202036,0,90,0.61560707,0.58069392,7.36958508,6.69112498,0.78651685,0.00000000,0.0000000645
202028,B,202036,A,90,0.61785677,0.58534716,7.41309709,6.77252074,0.74157303,0.00000000,0.0000051645
202028,B,202036,B,78,0.52759968,0.54027683,5.44991857,5.59726097,0.76623377,0.02597403,0.0000029772
202021,0,202036,0,93,0.60820110,0.52000818,7.34918752,5.80752376,0.70652174,0.02173913,0.0000743950
202030,0,202036,A,97,0.65342525,0.54726834,8.45747628,6.37321954,0.70833333,0.01041667,0.0000445571
VEND174,T,VEND230,T,130,0.47691684,0.52803182,6.16274386,7.03465034,0.70542636,0.03100775,0.0000030654
VEND093,T,VEND051,T,50,0.44436388,0.59792971,3.47218815,5.16821918,0.81632653,0.00000000,0.0000094859
068119,B,068124,B,95,0.74885958,0.56643992,10.95540755,6.62847790,0.70212766,0.00000000,0.0000887694
068026,B,068124,B,58,0.35506373,0.54622263,2.86751357,4.87984777,0.77192982,0.03508772,0.0000402482
VITT109,T,VITT106,Q,108,0.79431273,0.59184372,13.52479321,7.55955995,0.73831776,0.01869159,0.0000008208
VITT103,T,VITT106,Q,100,0.80241648,0.54481839,13.37871797,6.43181766,0.70707071,0.02020202,0.0000377797
VDMB001,1,1TN0118,A,66,0.16513435,0.57095181,1.34988822,5.56358815,0.75384615,0.03076923,0.0000425559
VEN_QT1,R,1TN0118,A,67,0.76729014,0.56017633,9.72008954,5.45199305,0.75757576,0.06060606,0.0000285027
1TN0116,M,1TN0118,A,125,0.83330760,0.72780682,16.78574464,11.77016271,0.71774194,0.02419355,0.0000012387
VOW0028,1,OSD_QT1,R,53,0.15516199,0.51054795,1.13260594,4.24032641,0.82692308,0.01923077,0.0000024177
DAAH15A,M,OSD_QT1,R,64,0.42837585,0.60713741,3.76286574,6.01639021,0.74603175,0.01587302,0.0000939791
METZ616,T,SARR632,T,55,0.33315878,0.56151297,2.59654582,4.94022297,0.77777778,0.01851852,0.0000445571
202048,0,LAMA101,T,75,0.13444837,0.51501485,1.16716575,5.13344035,0.74324324,0.01351351,0.0000285273
202046,B,LAMA101,T,51,0.46077344,0.54289106,3.67109284,4.52515272,0.78000000,0.00000000,0.0000750132
TRAG102,T,LAMA101,T,54,0.35807055,0.56051512,2.79191201,4.88071049,0.79245283,0.03773585,0.0000206100
195049,A,ELS0001,1,60,0.14769130,0.56233870,1.14701715,5.17911197,0.76271186,0.01694915,0.0000544035
195049,A,ELS0001,Q,60,0.14769130,0.56233870,1.14701715,5.17911197,0.76271186,0.01694915,0.0000544035
185021,F,185020,E,54,0.64448053,0.71868229,6.13623064,7.45319155,0.77358491,0.01886792,0.0000679202
TROY011,T,TROY215,T,78,0.61443187,0.52040804,6.83374348,5.31293823,0.75324675,0.01298701,0.0000088112
TROY055,T,TROY215,T,56,0.59835904,0.70561145,5.53843466,7.31748744,0.80000000,0.00000000,0.0000085983
TROY210,T,TROY215,T,58,0.74238316,0.63763156,8.36578278,6.19413306,0.77192982,0.00000000,0.0000402482
BHC0042,0,BHC0077,1,100,0.31237338,0.56948686,3.27179863,6.85842987,0.70707071,0.03030303,0.0000377797
VOW0028,1,BHC0077,1,55,0.20607608,0.52805338,1.54756061,4.52689120,0.77777778,0.00000000,0.0000445571
BHC0073,1,BHC0077,1,132,0.79635576,0.65434206,15.06990550,9.86598824,0.70992366,0.06870229,0.0000015446
068135,C,068087,D,100,0.59709357,0.55118559,7.40615357,6.53951613,0.76767677,0.01010101,0.0000001000
068135,C,068087,Q,77,0.57407688,0.57215931,6.11221011,6.04168783,0.80263158,0.01315789,0.0000001316
068_QT06,R,068087,Q,77,0.57303818,0.60332385,6.09573668,6.55167668,0.72368421,0.01315789,0.0000961659
068072,B,068087,D,97,0.55099536,0.74507629,6.46923446,10.88805276,0.70833333,0.01041667,0.0000445571
068072,B,068087,Q,77,0.56481769,0.73847594,5.96688400,9.48477028,0.72368421,0.01315789,0.0000961659
068_QT02,R,068087,D,100,0.75467942,0.73618409,11.44495852,10.76839760,0.74747475,0.01010101,0.0000008450
068_QT02,R,068087,Q,77,0.77379139,0.82948196,10.64939308,12.86140306,0.77631579,0.01315789,0.0000014520
068022,0,068087,D,100,0.55626047,0.53036345,6.66025092,6.19310419,0.73737374,0.01010101,0.0000023162
068022,0,068087,Q,77,0.56793171,0.50114419,6.01538105,5.01527337,0.72368421,0.01315789,0.0000961659
068_QT05,R,068087,D,100,0.58082085,0.54408404,7.09935073,6.41949939,0.71717172,0.02020202,0.0000154858
068_QT05,R,068087,Q,77,0.53592070,0.60086408,5.53384297,6.50982377,0.73684211,0.01315789,0.0000363580
ELS0007,0,VDMM003,1,71,0.55742565,0.52916397,5.61744959,5.18027651,0.74285714,0.02857143,0.0000482849
ELS0007,0,VDMM003,Q,71,0.55742565,0.52916397,5.61744959,5.18027651,0.74285714,0.02857143,0.0000482849
STF0008,0,STF0005,0,88,-0.17271929,0.67139242,-1.63559960,8.40132261,0.80459770,0.01149425,0.0000000133
STF0008,0,STF0005,1,86,-0.19943495,0.75972933,-1.87639414,10.70841554,0.81176471,0.00000000,0.0000000090
STF0008,0,STF0005,2,88,-0.12636646,0.59438372,-1.18819286,6.85428270,0.78160920,0.00000000,0.0000001494
STF0008,Q,STF0005,0,88,-0.17271929,0.67139242,-1.63559960,8.40132261,0.80459770,0.01149425,0.0000000133
STF0008,1,STF0005,0,88,-0.16745205,0.64954672,-1.58425808,7.92249989,0.79310345,0.02298851,0.0000000456
STF0008,1,STF0005,1,86,-0.19802146,0.75574523,-1.86255050,10.57700685,0.81176471,0.01176471,0.0000000090
STF0008,1,STF0005,2,88,-0.11579909,0.57405783,-1.08741747,6.50158450,0.77011494,0.01149425,0.0000004681
STF0008,2,STF0005,0,86,-0.14720324,0.62399465,-1.37209405,7.31865379,0.71764706,0.03529412,0.0000598977
STF0008,2,STF0005,1,84,-0.17479472,0.68791818,-1.61735508,8.58289467,0.77108434,0.02409639,0.0000007837
STF0008,Q,STF0005,1,86,-0.19943495,0.75972933,-1.87639414,10.70841554,0.81176471,0.00000000,0.0000000090
STF0008,Q,STF0005,2,88,-0.12636646,0.59438372,-1.18819286,6.85428270,0.78160920,0.00000000,0.0000001494
068005,B,068065,0,78,0.59650519,0.53604060,6.52161933,5.53558017,0.74025974,0.02597403,0.0000248078
068063,0,068065,A,62,0.78918410,0.65924564,10.03607860,6.79120495,0.75409836,0.03278689,0.0000721315
068087,D,068135,C,100,0.59709357,0.55118559,7.40615357,6.53951613,0.76767677,0.01010101,0.0000001000
068087,Q,068135,C,77,0.57407688,0.57215931,6.11221011,6.04168783,0.80263158,0.01315789,0.0000001316
068082,0,068135,B,102,0.30269704,0.58622126,3.19180536,7.23595054,0.72277228,0.02970297,0.0000075463
068082,A,068135,B,97,0.28881005,0.57111107,2.95570205,6.78119952,0.73958333,0.01041667,0.0000026680
HRW2003,0,HRW2004,0,110,0.40202609,0.51964421,4.58403915,6.32070464,0.72477064,0.03669725,0.0000026877
HRW2003,0,HRW2004,2,110,0.42301579,0.54207301,4.87397173,6.70376943,0.73394495,0.04587156,0.0000010347
HRW2003,2,HRW2004,2,110,0.47528922,0.53333349,5.63991594,6.55222950,0.70642202,0.03669725,0.0000163093
HRW2001,0,HRW2004,2,116,0.58411378,0.51981055,7.71730954,6.49675487,0.70434783,0.04347826,0.0000117178
DMN1008,Q,DMN4009,1,53,0.48437268,0.67463094,3.99247193,6.52685052,0.80769231,0.01923077,0.0000090967
DMN1008,1,DMN4009,1,53,0.48437268,0.67463094,3.99247193,6.52685052,0.80769231,0.01923077,0.0000090967
TROY180,T,TROY117,Q,97,0.68693058,0.63000536,9.26146173,7.90703780,0.70833333,0.01041667,0.0000445571
TROY125,T,TROY117,T,98,0.83430872,0.74235742,14.90481566,10.85603473,0.73195876,0.02061856,0.0000048992
