Series_A,Radius_A,Series_B,Radius_B,overlap,r,r_wuchs,t,t_wuchs,SGC,SSGC,p
TROY125,T,TROY117,Q,93,0.84313190,0.75785007,15.03986412,11.08079459,0.72826087,0.02173913,0.0000119333
TROY172,T,TROY117,Q,94,0.65796865,0.56489322,8.42607958,6.56628906,0.72043011,0.02150538,0.0000212342
ZLF0011,1,ZLF0007,0,122,0.53349101,0.53215396,6.93823754,6.88533752,0.71900826,0.04132231,0.0000014487
ZLF0011,1,ZLF0007,1,122,0.54759758,0.54658617,7.19884341,7.15014459,0.71074380,0.02479339,0.0000035459
ZLF0010,1,ZLF0007,0,132,0.54361081,0.73799806,7.41288308,12.46952757,0.76335878,0.04580153,0.0000000017
ZLF0010,1,ZLF0007,1,132,0.57241298,0.75561584,7.99005116,13.15289818,0.78625954,0.03816794,0.0000000001
ZLF0010,1,ZLF0007,2,118,0.42844878,0.60606703,5.12899094,8.20647506,0.71794872,0.01709402,0.0000024177
ZLF0010,Q,ZLF0007,0,130,0.54301295,0.73710267,7.34460275,12.34034045,0.75968992,0.04651163,0.0000000037
ZLF0010,Q,ZLF0007,1,130,0.58106329,0.75485748,8.10904019,13.02086089,0.78294574,0.03875969,0.0000000001
ZLF0010,Q,ZLF0007,2,118,0.42844878,0.60606703,5.12899094,8.20647506,0.71794872,0.01709402,0.0000024177
202074,0,202047,Q,134,0.67031665,0.54849979,10.41736567,7.53665923,0.71428571,0.03007519,0.0000007712
185377,A,185380,A,66,0.93210757,0.81424667,20.74896293,11.22094670,0.75384615,0.00000000,0.0000425559
185031,E,185380,A,66,0.42843900,0.64577223,3.82281724,6.76617432,0.76923077,0.00000000,0.0000141697
185_QT2,R,185380,A,66,0.80443891,0.50666526,10.91785784,4.70145064,0.80000000,0.01538462,0.0000013158
185092,0,185380,A,59,0.73994204,0.71559205,8.37739955,7.73437203,0.81034483,0.01724138,0.0000022783
185092,A,185380,A,59,0.74057669,0.66128699,8.39330407,6.65562938,0.77586207,0.00000000,0.0000264794
185092,B,185380,A,59,0.75264668,0.69751868,8.70560761,7.34914323,0.81034483,0.00000000,0.0000022783
185021,F,185380,A,64,0.47003175,0.53598971,4.22677551,4.99912897,0.77777778,0.01587302,0.0000103569
CUY0088,1,CUY0001,2,58,0.75194205,0.53245277,8.61162983,4.70726672,0.78947368,0.01754386,0.0000123703
CUY0101,1,CUY0001,2,65,0.73668398,0.54727830,8.71509588,5.19013471,0.79687500,0.03125000,0.0000020342
CUY0044,1,CUY0001,3,82,0.80760064,0.55114364,12.32497682,5.90785858,0.76543210,0.02469136,0.0000017724
CUY0096,0,CUY0001,2,59,0.80786457,0.56300256,10.43916809,5.14314189,0.75862069,0.00000000,0.0000817561
CUY0038,1,CUY0001,2,69,0.84445940,0.59919400,13.00100129,6.12614358,0.75000000,0.01470588,0.0000373798
IWRD543,C,VDMWL22,1,62,0.07605424,0.53492191,0.59572798,4.90410693,0.75409836,0.00000000,0.0000721315
VEND200,T,VEND186,T,92,0.48939107,0.51494173,5.35338106,5.69881317,0.71428571,0.01098901,0.0000434526
VEN_QT1,R,HKL0006,2,73,0.38593115,0.57357229,3.54974140,5.89999008,0.76388889,0.00000000,0.0000075225
ELT0005,0,ALC0103,1,64,0.21022333,0.67258765,1.70673570,7.15653438,0.74603175,0.03174603,0.0000939791
SILL120,T,ALC0103,0,64,0.19268995,0.53213416,1.55863842,4.94889131,0.74603175,0.03174603,0.0000939791
SILL120,T,ALC0103,1,64,0.20706186,0.53580003,1.67990978,4.99664721,0.77777778,0.04761905,0.0000103569
MMB0003,1,ALC0103,1,88,0.33257492,0.53220620,3.28928907,5.82966115,0.71264368,0.03448276,0.0000728391
587_QT1,R,ALC0103,0,67,0.59859597,0.63150945,6.07079452,6.56641847,0.77272727,0.06060606,0.0000093669
VLD0001,2,ALC0103,0,63,0.19608100,0.63199963,1.57450813,6.36938624,0.75806452,0.01612903,0.0000482380
VLD0001,2,ALC0103,1,62,0.25305445,0.69740561,2.04291099,7.53768192,0.78688525,0.01639344,0.0000074193
F1B0101,C,F1B0505,B,58,0.74346153,0.68675334,8.39292800,7.07010364,0.77192982,0.01754386,0.0000402482
F1B0101,Z,F1B0505,B,58,0.74195821,0.66902816,8.35512566,6.73613931,0.77192982,0.01754386,0.0000402482
F1B0503,A,F1B0505,A,58,0.54575951,0.71530384,4.91727899,7.65990238,0.78947368,0.01754386,0.0000123703
F1B0503,A,F1B0505,B,58,0.53530990,0.69795666,4.78479101,7.29330772,0.80701754,0.03508772,0.0000035545
F1B0503,A,F1B0505,Z,58,0.54012986,0.70874426,4.84550823,7.51809452,0.78947368,0.01754386,0.0000123703
F1B0503,B,F1B0505,A,58,0.55341556,0.70013753,5.01641171,7.33794226,0.78947368,0.00000000,0.0000123703
F1B0503,B,F1B0505,B,58,0.54423711,0.69168075,4.89777817,7.16704580,0.80701754,0.01754386,0.0000035545
F1B0503,B,F1B0505,Z,58,0.54840252,0.69792346,4.95129928,7.29263122,0.78947368,0.00000000,0.0000123703
F1B0503,Z,F1B0505,A,58,0.55012559,0.71033446,4.97359234,7.55210399,0.80701754,0.00000000,0.0000035545
F1B0503,Z,F1B0505,B,58,0.54026225,0.69686329,4.84718536,7.27107980,0.82456140,0.01754386,0.0000009546
F1B0503,Z,F1B0505,Z,58,0.54477864,0.70565511,4.90470683,7.45268298,0.80701754,0.00000000,0.0000035545
F1B0401,A,F1B0505,B,58,0.13488991,0.62433490,1.02778987,5.98099457,0.78947368,0.03508772,0.0000123703
F1B0401,A,F1B0505,Z,58,0.13422743,0.61132764,1.02264925,5.78075139,0.77192982,0.01754386,0.0000402482
F1B0401,A,F1B0505,A,58,0.13559061,0.59859243,1.03322855,5.59195391,0.77192982,0.01754386,0.0000402482
F1B0602,A,F1B0505,B,57,0.74559918,0.67421796,8.37274602,6.77036513,0.76785714,0.01785714,0.0000609974
F1B0602,B,F1B0505,B,57,0.74402293,0.66518774,8.33304472,6.60683258,0.76785714,0.01785714,0.0000609974
F1B0602,C,F1B0505,B,57,0.76084578,0.69621473,8.77386525,7.19284632,0.76785714,0.01785714,0.0000609974
F1B0602,Z,F1B0505,B,57,0.75176532,0.68454228,8.53114075,6.96418154,0.76785714,0.01785714,0.0000609974
185380,A,185377,A,66,0.93210757,0.81424667,20.74896293,11.22094670,0.75384615,0.00000000,0.0000425559
CUY0088,1,CUY0058,1,56,0.44726855,0.63964181,3.70866883,6.11493766,0.78181818,0.00000000,0.0000291459
CUY0095,1,CUY0058,1,79,0.54372778,0.53939310,5.72178392,5.62096349,0.73076923,0.01282051,0.0000457782
CUY0061,1,CUY0058,1,52,0.65612276,0.51524619,6.20900791,4.25106331,0.78431373,0.00000000,0.0000489023
D2B0103,Z,CUY0058,1,79,0.59322496,0.53315323,6.50805205,5.52990222,0.76923077,0.02564103,0.0000019789
CUY0035,1,CUY0058,1,67,0.84062509,0.72551036,12.60902962,8.49920944,0.74242424,0.01515152,0.0000818466
METZ606,T,METZ621,T,67,0.52425304,0.61904604,5.00145510,6.35497407,0.78787879,0.03030303,0.0000029043
METZ625,T,METZ621,T,72,0.80034534,0.51656073,11.24835358,5.04742114,0.77464789,0.00000000,0.0000036842
TROY180,T,TROY039,T,66,0.59007352,0.62685391,5.89252205,6.43639372,0.78461538,0.01538462,0.0000044477
TROY173,T,TROY039,T,66,0.65150765,0.66438131,6.92371660,7.11144580,0.78461538,0.04615385,0.0000044477
TROY216,T,TROY039,T,63,0.43239723,0.61965392,3.77593715,6.16614215,0.80645161,0.01612903,0.0000013930
TROY127,T,TROY039,T,75,0.30410697,0.62746376,2.74608761,6.88509833,0.75675676,0.02702703,0.0000099891
TROY125,T,TROY039,T,62,0.47676112,0.62808931,4.23604557,6.25228241,0.75409836,0.03278689,0.0000721315
TROY033,T,TROY039,T,75,0.46619495,0.55480489,4.53310971,5.69755554,0.77027027,0.02702703,0.0000033209
TROY172,T,TROY039,T,63,0.47892240,0.61544323,4.29573118,6.09855345,0.79032258,0.03225806,0.0000048308
TROY170,Q,TROY039,T,75,0.40461491,0.61364279,3.80609941,6.64016469,0.74324324,0.04054054,0.0000285273
TROY170,T,TROY039,T,75,0.40461491,0.61364279,3.80609941,6.64016469,0.74324324,0.04054054,0.0000285273
TROY074,T,TROY039,T,75,0.30621713,0.53257055,2.76710644,5.37613666,0.74324324,0.02702703,0.0000285273
185060,0,185143,Q,65,0.58847186,0.72658284,5.82272329,8.39361058,0.78125000,0.03125000,0.0000067953
185060,B,185143,0,62,0.58042778,0.63371557,5.56701540,6.34559791,0.78688525,0.03278689,0.0000074193
185031,E,185143,Q,65,0.48869053,0.54813118,4.48104984,5.20169299,0.78125000,0.03125000,0.0000067953
