"","node","com_name","networktype"
"144","HOL_TMB22","GN_ 1",2
"145","LANG_Q1","GN_ 1",2
"146","068_Q3","GN_ 2",2
"147","1GDGem","GN_ 2",2
"148","HOK_Q1","GN_ 2",2
"149","VALK_Q1","GN_ 2",2
"150","VDM2W_Q1","GN_ 2",2
"151","VDML2_Q1","GN_ 2",2
"152","VDMLR_Q1","GN_ 2",2
"153","VDMLR_Q2","GN_ 2",2
"154","VDMWL_Q1","GN_ 2",2
"155","VDMWL_Q3","GN_ 2",2
"156","VNW_Q1","GN_ 2",2
"157","VRW_Q1","GN_ 2",2
"158","195_Q1","GN_ 3",2
"159","1TN_Q1","GN_ 3",2
"160","BOUX_Q1","GN_ 3",2
"161","BSN_Q1","GN_ 3",2
"162","C4A_Q1","GN_ 3",2
"163","DMN1_Q3","GN_ 3",2
"164","FLEV1_Q1","GN_ 3",2
"165","FLOR_Q2","GN_ 3",2
"166","HOL_GKZB","GN_ 3",2
"167","HOL_KBMB","GN_ 3",2
"168","HOL_KORH","GN_ 3",2
"169","HOL_LKBB","GN_ 3",2
"170","HOL_LKSB","GN_ 3",2
"171","HOL_MBRU","GN_ 3",2
"172","HOL_MBUF","GN_ 3",2
"173","HOL_MRBR","GN_ 3",2
"174","HOL_PALZ","GN_ 3",2
"175","HOL_TMB11","GN_ 3",2
"176","HOL_TRPB","GN_ 3",2
"177","HOL_TRRB","GN_ 3",2
"178","HOL_TRRS","GN_ 3",2
"179","HORB1_Q1","GN_ 3",2
"180","HORB2_Q1","GN_ 3",2
"181","HORB3_Q1","GN_ 3",2
"182","MAIR_Q1","GN_ 3",2
"183","MAP_Q1","GN_ 3",2
"184","MMB_Q1","GN_ 3",2
"185","OFBG_Q1","GN_ 3",2
"186","OSH_Q1","GN_ 3",2
"187","SAND_Q1","GN_ 3",2
"188","SARR2_Q2","GN_ 3",2
"189","SARR6_Q1","GN_ 3",2
"190","SAUL_Q1","GN_ 3",2
"191","SILL_Q2","GN_ 3",2
"192","TROY_Q1","GN_ 3",2
"193","VALK_Q2","GN_ 3",2
"194","VEN_Q1","GN_ 3",2
"195","VFH_Q2","GN_ 3",2
"196","VIGO_Q1","GN_ 3",2
"197","1AH_Q1","GN_ 4",2
"198","202_Q1","GN_ 4",2
"199","CUY_Q1","GN_ 4",2
"200","GENP_Q1","GN_ 4",2
"201","HOL_KORB","GN_ 4",2
"202","HOL_MB253","GN_ 4",2
"203","HOL_TATE","GN_ 4",2
"204","HOL_TRMB32","GN_ 4",2
"205","HOL_WEDW","GN_ 4",2
"206","METZ_Q3","GN_ 4",2
"207","SARR2_Q1","GN_ 4",2
"208","STF_Q1","GN_ 4",2
"209","388_Q1","GN_ 5",2
"210","585_Q2","GN_ 5",2
"211","600_Q1","GN_ 5",2
"212","DMN1_Q1","GN_ 5",2
"213","MEK_Q1","GN_ 5",2
"214","NOVY_Q2","GN_ 5",2
"215","POM3_Q1","GN_ 5",2
"216","563_Q1","GN_ 6",2
"217","587_Q1","GN_ 6",2
"218","VRIG_Q1","GN_ 6",2
"219","585_Q1","GN_ 7",2
"220","C4CRH_Q1","GN_ 7",2
"221","LRC_Q1","GN_ 7",2
"222","ABC_Q1","GN_ 8",2
"223","DIF_Q1","GN_ 8",2
"224","VEL_Q1","GN_ 8",2
"225","ALC_Q1","GN_ 9",2
"226","ALC_Q3","GN_ 9",2
"227","C5A_Q1","GN_ 9",2
"228","IJS_Q1","GN_ 9",2
