"","degree","count"
"1","1",470
"2","2",258
"3","3",163
"4","4",97
"5","5",80
"6","6",49
"7","7",47
"8","8",25
"9","9",31
"10","10",26
"11","11",13
"12","12",15
"13","13",6
"14","14",7
"15","15",4
"16","16",3
"17","17",1
"18","18",1
"19","19",1
"20","20",1
"21","22",3
"22","23",2
"23","24",1
"24","25",2
"25","26",2
"26","27",2
"27","28",3
"28","29",1
"29","30",2
"30","31",1
"31","32",2
"32","34",3
"33","35",2
"34","37",2
"35","39",1
"36","40",1
"37","42",1
"38","44",1
"39","51",1
