"","degree","count"
"1","1",31
"2","2",26
"3","3",21
"4","4",17
"5","5",12
"6","6",6
"7","7",9
"8","8",7
"9","9",3
"10","10",4
"11","11",1
"12","12",2
"13","13",2
"14","14",1
"15","15",1
"16","16",4
"17","17",1
"18","18",1
"19","19",1
"20","20",1
"21","21",2
"22","23",1
"23","25",1
