"","degree","count"
"1","1",473
"2","2",251
"3","3",161
"4","4",92
"5","5",66
"6","6",48
"7","7",38
"8","8",23
"9","9",23
"10","10",16
"11","11",12
"12","12",11
"13","13",9
"14","14",4
"15","15",1
"16","16",6
"17","19",3
"18","21",2
"19","22",2
"20","23",2
"21","24",1
"22","25",2
"23","26",1
"24","27",2
"25","28",1
"26","31",1
"27","32",1
"28","34",2
"29","39",1
