"","node","com_name","networktype"
"1","068_Q1","CPM_K3_01",3
"2","068_Q2","CPM_K3_01",3
"3","195_Q1","CPM_K3_01",3
"4","1DH_Q1","CPM_K3_01",3
"5","1GDGem","CPM_K3_01",3
"6","1TN_Q1","CPM_K3_01",3
"7","202_Q1","CPM_K3_01",3
"8","563_Q1","CPM_K3_01",3
"9","587_Q1","CPM_K3_01",3
"10","BECRAA","CPM_K3_01",3
"11","BECRKO","CPM_K3_01",3
"12","BECRWE","CPM_K3_01",3
"13","BHC_Q1","CPM_K3_01",3
"14","C4A_Q1","CPM_K3_01",3
"15","DAMP_Q1","CPM_K3_01",3
"16","DEU_Q1","CPM_K3_01",3
"17","DMN1_Q1","CPM_K3_01",3
"18","DMN1_Q3","CPM_K3_01",3
"19","ELT_Q1","CPM_K3_01",3
"20","EMP_Q1","CPM_K3_01",3
"21","F1B_Q1","CPM_K3_01",3
"22","FLEV1_Q1","CPM_K3_01",3
"23","FLOR_Q1","CPM_K3_01",3
"24","FLOR_Q2","CPM_K3_01",3
"25","HOK_Q1","CPM_K3_01",3
"26","HOL_AAHO","CPM_K3_01",3
"27","HOL_KBMB","CPM_K3_01",3
"28","HOL_KMBQ","CPM_K3_01",3
"29","HOL_KORB","CPM_K3_01",3
"30","HOL_LKBB","CPM_K3_01",3
"31","HOL_LKSB","CPM_K3_01",3
"32","HOL_MB253","CPM_K3_01",3
"33","HOL_MBRU","CPM_K3_01",3
"34","HOL_MBUF","CPM_K3_01",3
"35","HOL_MRBR","CPM_K3_01",3
"36","HOL_PALZ","CPM_K3_01",3
"37","HOL_SQUS","CPM_K3_01",3
"38","HOL_TATE","CPM_K3_01",3
"39","HOL_TMB11","CPM_K3_01",3
"40","HOL_TMB12","CPM_K3_01",3
"41","HOL_TRMB32","CPM_K3_01",3
"42","HOL_TRPB","CPM_K3_01",3
"43","HOL_TRRB","CPM_K3_01",3
"44","HOL_TRRS","CPM_K3_01",3
"45","HOL_WEDW","CPM_K3_01",3
"46","HORB1_Q1","CPM_K3_01",3
"47","HORB2_Q1","CPM_K3_01",3
