"","degree","count"
"1","1",34
"2","2",23
"3","3",24
"4","4",12
"5","5",17
"6","6",10
"7","7",10
"8","8",7
"9","9",6
"10","10",3
"11","11",5
"12","12",3
"13","13",1
"14","14",1
"15","15",1
"16","16",1
"17","17",2
"18","18",2
"19","19",4
"20","22",1
"21","23",2
"22","26",1
"23","28",1
