"","node","com_name","networktype"
"1","068_Q1","CPM_K3_01",4
"2","068_Q2","CPM_K3_01",4
"3","195_Q1","CPM_K3_01",4
"4","1DH_Q1","CPM_K3_01",4
"5","1GDGem","CPM_K3_01",4
"6","1TN_Q1","CPM_K3_01",4
"7","202_Q1","CPM_K3_01",4
"8","563_Q1","CPM_K3_01",4
"9","587_Q1","CPM_K3_01",4
"10","BECRAA","CPM_K3_01",4
"11","BECRKO","CPM_K3_01",4
"12","BECRWE","CPM_K3_01",4
"13","BHC_Q1","CPM_K3_01",4
"14","BOUX_Q1","CPM_K3_01",4
"15","C4A_Q1","CPM_K3_01",4
"16","DAMP_Q1","CPM_K3_01",4
"17","DEU_Q1","CPM_K3_01",4
"18","DMN1_Q1","CPM_K3_01",4
"19","DMN1_Q3","CPM_K3_01",4
"20","ELT_Q1","CPM_K3_01",4
"21","EMP_Q1","CPM_K3_01",4
"22","F1B_Q1","CPM_K3_01",4
"23","FLEV1_Q1","CPM_K3_01",4
"24","FLOR_Q1","CPM_K3_01",4
"25","FLOR_Q2","CPM_K3_01",4
"26","HOK_Q1","CPM_K3_01",4
"27","HOL_AAHO","CPM_K3_01",4
"28","HOL_KBMB","CPM_K3_01",4
"29","HOL_KMBQ","CPM_K3_01",4
"30","HOL_KORB","CPM_K3_01",4
"31","HOL_KORH","CPM_K3_01",4
"32","HOL_LKBB","CPM_K3_01",4
"33","HOL_LKSB","CPM_K3_01",4
"34","HOL_LKSH","CPM_K3_01",4
"35","HOL_MB253","CPM_K3_01",4
"36","HOL_MBRU","CPM_K3_01",4
"37","HOL_MBUF","CPM_K3_01",4
"38","HOL_MRBR","CPM_K3_01",4
"39","HOL_PALZ","CPM_K3_01",4
"40","HOL_SQUS","CPM_K3_01",4
"41","HOL_TATE","CPM_K3_01",4
"42","HOL_TMB11","CPM_K3_01",4
"43","HOL_TMB12","CPM_K3_01",4
"44","HOL_TMB21","CPM_K3_01",4
"45","HOL_TMB22","CPM_K3_01",4
"46","HOL_TRMB32","CPM_K3_01",4
"47","HOL_TRPB","CPM_K3_01",4
"48","HOL_TRRB","CPM_K3_01",4
"49","HOL_TRRS","CPM_K3_01",4
"50","HOL_WEDE","CPM_K3_01",4
"51","HOL_WEDW","CPM_K3_01",4
"52","HORB1_Q1","CPM_K3_01",4
