"","degree","count"
"1","1",40
"2","2",31
"3","3",14
"4","4",23
"5","5",5
"6","6",1
"7","7",3
"8","8",4
"9","9",1
"10","10",2
"11","11",1
"12","12",3
"13","13",1
"14","19",1
