"","degree","count"
"1","1",44
"2","2",27
"3","3",17
"4","4",28
"5","5",8
"6","6",5
"7","7",4
"8","8",2
"9","9",2
"10","10",2
"11","11",5
"12","12",2
"13","14",1
"14","15",2
"15","16",1
"16","22",1
