"","degree","count"
"1","1",359
"2","2",273
"3","3",200
"4","4",166
"5","5",148
"6","6",114
"7","7",59
"8","8",69
"9","9",47
"10","10",32
"11","11",38
"12","12",36
"13","13",27
"14","14",29
"15","15",20
"16","16",16
"17","17",18
"18","18",13
"19","19",9
"20","20",10
"21","21",3
"22","22",4
"23","23",6
"24","24",3
"25","26",6
"26","27",5
"27","28",3
"28","29",4
"29","30",6
"30","31",2
"31","32",3
"32","34",1
"33","35",2
"34","37",1
"35","38",2
"36","39",1
"37","40",1
"38","44",1
"39","45",1
"40","46",1
"41","47",1
"42","53",1
