"","node","com_name","networktype"
"1","068_QT01","CPM_K3_01",2
"2","068_QT02","CPM_K3_01",2
"3","068_QT06","CPM_K3_01",2
"4","068009","CPM_K3_01",2
"5","068022","CPM_K3_01",2
"6","068023","CPM_K3_01",2
"7","068024","CPM_K3_01",2
"8","068028","CPM_K3_01",2
"9","068029","CPM_K3_01",2
"10","068032","CPM_K3_01",2
"11","068036","CPM_K3_01",2
"12","068056","CPM_K3_01",2
"13","068072","CPM_K3_01",2
"14","068075","CPM_K3_01",2
"15","068081","CPM_K3_01",2
"16","068082","CPM_K3_01",2
"17","068087","CPM_K3_01",2
"18","068089","CPM_K3_01",2
"19","068100","CPM_K3_01",2
"20","068115","CPM_K3_01",2
"21","068120","CPM_K3_01",2
"22","068129","CPM_K3_01",2
"23","068130","CPM_K3_01",2
"24","068134","CPM_K3_01",2
"25","068138","CPM_K3_01",2
"26","068140","CPM_K3_01",2
"27","068141","CPM_K3_01",2
"28","068144","CPM_K3_01",2
"29","185_QT1","CPM_K3_01",2
"30","185_QT2","CPM_K3_01",2
"31","185_QT3","CPM_K3_01",2
"32","185_QT5","CPM_K3_01",2
"33","185002","CPM_K3_01",2
"34","185003","CPM_K3_01",2
"35","185006","CPM_K3_01",2
"36","185009","CPM_K3_01",2
"37","185013","CPM_K3_01",2
"38","185019","CPM_K3_01",2
"39","185020","CPM_K3_01",2
"40","185021","CPM_K3_01",2
"41","185023","CPM_K3_01",2
"42","185024","CPM_K3_01",2
"43","185031","CPM_K3_01",2
"44","185039","CPM_K3_01",2
"45","185060","CPM_K3_01",2
"46","185067","CPM_K3_01",2
"47","185074","CPM_K3_01",2
"48","185092","CPM_K3_01",2
"49","185096","CPM_K3_01",2
"50","185108","CPM_K3_01",2
"51","185111","CPM_K3_01",2
"52","185126","CPM_K3_01",2
"53","185143","CPM_K3_01",2
"54","185150","CPM_K3_01",2
"55","185321","CPM_K3_01",2
"56","185322","CPM_K3_01",2
"57","185323","CPM_K3_01",2
"58","185325","CPM_K3_01",2
"59","185329","CPM_K3_01",2
"60","185330","CPM_K3_01",2
"61","185331","CPM_K3_01",2
"62","185332","CPM_K3_01",2
"63","185334","CPM_K3_01",2
"64","185336","CPM_K3_01",2
"65","185337","CPM_K3_01",2
"66","185338","CPM_K3_01",2
"67","185342","CPM_K3_01",2
"68","185343","CPM_K3_01",2
"69","185345","CPM_K3_01",2
"70","185350","CPM_K3_01",2
"71","185362","CPM_K3_01",2
"72","185375","CPM_K3_01",2
"73","185379","CPM_K3_01",2
"74","185380","CPM_K3_01",2
"75","185384","CPM_K3_01",2
"76","195001","CPM_K3_01",2
"77","195003","CPM_K3_01",2
"78","195004","CPM_K3_01",2
"79","195005","CPM_K3_01",2
"80","195006","CPM_K3_01",2
"81","195007","CPM_K3_01",2
"82","195008","CPM_K3_01",2
"83","195009","CPM_K3_01",2
"84","195010","CPM_K3_01",2
"85","195011","CPM_K3_01",2
"86","195012","CPM_K3_01",2
"87","195014","CPM_K3_01",2
"88","195015","CPM_K3_01",2
"89","195016","CPM_K3_01",2
"90","195017","CPM_K3_01",2
"91","195018","CPM_K3_01",2
"92","195019","CPM_K3_01",2
"93","195020","CPM_K3_01",2
"94","195021","CPM_K3_01",2
"95","195022","CPM_K3_01",2
"96","195023","CPM_K3_01",2
"97","195024","CPM_K3_01",2
"98","195025","CPM_K3_01",2
"99","195026","CPM_K3_01",2
"100","195027","CPM_K3_01",2
"101","195028","CPM_K3_01",2
"102","195029","CPM_K3_01",2
"103","195030","CPM_K3_01",2
"104","195031","CPM_K3_01",2
"105","195032","CPM_K3_01",2
"106","195033","CPM_K3_01",2
"107","195035","CPM_K3_01",2
"108","195036","CPM_K3_01",2
"109","195043","CPM_K3_01",2
"110","195044","CPM_K3_01",2
"111","195047","CPM_K3_01",2
"112","195048","CPM_K3_01",2
"113","195049","CPM_K3_01",2
"114","195050","CPM_K3_01",2
"115","195052","CPM_K3_01",2
"116","195053","CPM_K3_01",2
"117","1TN0067","CPM_K3_01",2
"118","1TN0068","CPM_K3_01",2
"119","1TN0074","CPM_K3_01",2
"120","1TN0096","CPM_K3_01",2
"121","1TN0100","CPM_K3_01",2
"122","1TN0106","CPM_K3_01",2
"123","1TN0108","CPM_K3_01",2
"124","6001004","CPM_K3_01",2
"125","ALC0103","CPM_K3_01",2
"126","BHC0056","CPM_K3_01",2
"127","BHC0059","CPM_K3_01",2
"128","BHO0001","CPM_K3_01",2
"129","BHO0003","CPM_K3_01",2
"130","C4A_QT2","CPM_K3_01",2
"131","C4A_QT3","CPM_K3_01",2
"132","C4A0201","CPM_K3_01",2
"133","C4A0601","CPM_K3_01",2
"134","DAMB101","CPM_K3_01",2
"135","DAMB110","CPM_K3_01",2
"136","DAMP105","CPM_K3_01",2
"137","DAMP108","CPM_K3_01",2
"138","DIFO035","CPM_K3_01",2
"139","DMN1030","CPM_K3_01",2
"140","ELS0006","CPM_K3_01",2
"141","ELT_QT1","CPM_K3_01",2
"142","ELT0001","CPM_K3_01",2
"143","ELT0002","CPM_K3_01",2
"144","ELT0003","CPM_K3_01",2
"145","ELT0005","CPM_K3_01",2
"146","ELT2001","CPM_K3_01",2
"147","ELT2002","CPM_K3_01",2
"148","ELT2003","CPM_K3_01",2
"149","ELT2004","CPM_K3_01",2
"150","FLEV_QT1","CPM_K3_01",2
"151","FLEV_QT2","CPM_K3_01",2
"152","FLEV_QT3","CPM_K3_01",2
"153","FLEV101","CPM_K3_01",2
"154","FLEV103","CPM_K3_01",2
"155","FLEV104","CPM_K3_01",2
"156","FLEV106","CPM_K3_01",2
"157","FLEV107","CPM_K3_01",2
"158","FLEV109","CPM_K3_01",2
"159","FLEV112","CPM_K3_01",2
"160","FLEV113","CPM_K3_01",2
"161","FLEV115","CPM_K3_01",2
"162","FLEV117","CPM_K3_01",2
"163","FLEV118","CPM_K3_01",2
"164","FLEV119","CPM_K3_01",2
"165","FLEV120","CPM_K3_01",2
"166","FLEV121","CPM_K3_01",2
"167","FLEV122","CPM_K3_01",2
"168","FLEV127","CPM_K3_01",2
"169","FLEV128","CPM_K3_01",2
"170","FLEV129","CPM_K3_01",2
"171","FLEV137","CPM_K3_01",2
"172","FLEV143","CPM_K3_01",2
"173","FLEV150","CPM_K3_01",2
"174","FLOR103","CPM_K3_01",2
"175","HORB102","CPM_K3_01",2
"176","HORB105","CPM_K3_01",2
"177","HORB306","CPM_K3_01",2
"178","HORB307","CPM_K3_01",2
"179","HORB309","CPM_K3_01",2
"180","HORB310","CPM_K3_01",2
"181","HORB311","CPM_K3_01",2
"182","HORB312","CPM_K3_01",2
"183","HORB313","CPM_K3_01",2
"184","HORB316","CPM_K3_01",2
"185","HORB320","CPM_K3_01",2
"186","HORB324","CPM_K3_01",2
"187","HORB328","CPM_K3_01",2
"188","HORB336","CPM_K3_01",2
"189","IALP062","CPM_K3_01",2
"190","IJS0003","CPM_K3_01",2
"191","IOSS001","CPM_K3_01",2
"192","LANG101","CPM_K3_01",2
"193","LUPP101","CPM_K3_01",2
"194","MAP0002","CPM_K3_01",2
"195","MAP0003","CPM_K3_01",2
"196","MEH0001","CPM_K3_01",2
"197","MEH0011","CPM_K3_01",2
"198","METZ647","CPM_K3_01",2
"199","MMB0003","CPM_K3_01",2
"200","MMB0011","CPM_K3_01",2
"201","MMB0015","CPM_K3_01",2
"202","MRW0002","CPM_K3_01",2
"203","NEW0013","CPM_K3_01",2
"204","NIZ0016","CPM_K3_01",2
