"series_a","series_b","r","sgc","ssgc","overlap","p"
"ak006","ak103","0.600181886089061","0.807962529274005","0.00234192037470726","427","0"
"ak010","ak078","0.543811821388549","0.714285714285714","0.00911854103343465","329","7.54951656745106e-15"
"ak015","ak024","0.722131838592721","0.700892857142857","0.00446428571428571","448","0"
"ak015","ak029","0.563829694249036","0.721374045801527","0","262","7.69384556065233e-13"
"ak015","ak030","0.63084356212769","0.712053571428571","0.00446428571428571","448","0"
"ak019","ak2","0.516707061614391","0.768292682926829","0","164","6.34647889796724e-12"
"ak019","ak9","0.526008025846614","0.71","0","100","2.66914980318056e-05"
"ak020","ak022","0.500677837230981","0.730434782608696","0","230","2.76001443921814e-12"
"ak020","ak099","0.598093828890702","0.724795640326976","0","367","0"
"ak021","ak022","0.571551274080115","0.795652173913043","0","230","0"
"ak022","ak020","0.500677837230981","0.730434782608696","0","230","2.76001443921814e-12"
"ak022","ak021","0.571551274080115","0.795652173913043","0","230","0"
"ak024","ak015","0.722131838592721","0.700892857142857","0.00446428571428571","448","0"
"ak029","ak015","0.563829694249036","0.721374045801527","0","262","7.69384556065233e-13"
"ak030","ak015","0.63084356212769","0.712053571428571","0.00446428571428571","448","0"
"ak032","ak049","0.623375240943364","0.727272727272727","0.00727272727272727","275","4.77395900588817e-14"
"ak032","ak085","0.609760234947867","0.809782608695652","0.0108695652173913","184","0"
"ak034","ak038","0.64548309910018","0.757425742574257","0","202","2.52686760404686e-13"
"ak035","ak039","0.701269580110692","0.816666666666667","0","300","0"
"ak036","cana157","0.593415593530276","0.717054263565892","0.00775193798449612","258","3.10662606750611e-12"
"ak038","ak034","0.64548309910018","0.757425742574257","0","202","2.52686760404686e-13"
"ak039","ak035","0.701269580110692","0.816666666666667","0","300","0"
"ak040","ak041","0.630812269448503","0.783018867924528","0.00471698113207547","212","2.22044604925031e-16"
"ak041","ak040","0.630812269448503","0.783018867924528","0.00471698113207547","212","2.22044604925031e-16"
"ak049","ak032","0.623375240943364","0.727272727272727","0.00727272727272727","275","4.77395900588817e-14"
"ak049","ak051","0.605451180272787","0.734104046242775","0","173","7.35225658132777e-10"
"ak049","ak085","0.719088230123772","0.81025641025641","0","195","0"
"ak049","ak104","0.63630874901735","0.768421052631579","0","285","0"
"ak049","ak106","0.524837178710069","0.731060606060606","0","264","5.97299987248334e-14"
"ak051","ak049","0.605451180272787","0.734104046242775","0","173","7.35225658132777e-10"
"ak051","ak104","0.530540348860386","0.755813953488372","0","172","1.94708693612711e-11"
"ak051","ak106","0.584667746499088","0.754966887417219","0","151","3.70033559349281e-10"
"ak071","cana009","0.645251360954109","0.764044943820225","0.00374531835205993","267","0"
"ak074","ak077","0.610545497190612","0.723112128146453","0.022883295194508","437","0"
"ak075","cana009","0.543469891619912","0.789473684210526","0.0105263157894737","285","0"
"ak077","ak074","0.610545497190612","0.723112128146453","0.022883295194508","437","0"
"ak078","ak010","0.543811821388549","0.714285714285714","0.00911854103343465","329","7.54951656745106e-15"
"ak079","ak081","0.788638737098253","0.753968253968254","0","126","1.1870676663861e-08"
"ak079","ak084","0.538686642113508","0.707865168539326","0","89","8.78198518219353e-05"
"ak080","ak081","0.742102277302353","0.714285714285714","0","147","2.03455461367241e-07"
"ak080","ak083","0.643176121603249","0.741573033707865","0","89","5.16452784760091e-06"
"ak081","ak079","0.788638737098253","0.753968253968254","0","126","1.1870676663861e-08"
"ak081","ak080","0.742102277302353","0.714285714285714","0","147","2.03455461367241e-07"
"ak081","ak083","0.63701505562607","0.752808988764045","0","89","1.84234644273751e-06"
"ak082","ak083","0.570552500740838","0.831460674157303","0","89","4.00103061792834e-10"
"ak082","ak084","0.556600512024652","0.808988764044944","0","89","5.54312484801756e-09"
"ak083","ak080","0.643176121603249","0.741573033707865","0","89","5.16452784760091e-06"
"ak083","ak081","0.63701505562607","0.752808988764045","0","89","1.84234644273751e-06"
"ak083","ak082","0.570552500740838","0.831460674157303","0","89","4.00103061792834e-10"
"ak083","ak084","0.941135796810035","0.752808988764045","0","89","1.84234644273751e-06"
"ak084","ak079","0.538686642113508","0.707865168539326","0","89","8.78198518219353e-05"
"ak084","ak082","0.556600512024652","0.808988764044944","0","89","5.54312484801756e-09"
"ak084","ak083","0.941135796810035","0.752808988764045","0","89","1.84234644273751e-06"
"ak085","ak032","0.609760234947867","0.809782608695652","0.0108695652173913","184","0"
"ak085","ak049","0.719088230123772","0.81025641025641","0","195","0"
"ak085","ak104","0.63127221293704","0.809278350515464","0","194","0"
"ak085","ak106","0.547309349137947","0.710982658959538","0","173","2.85527101961947e-08"
"ak098","ak100","0.578659713545911","0.710467706013363","0","449","0"
